debate,time,text,date,mp
Daesh,,"I thank the Secretary of State for his answer. It is heartening to see the real progress that is being made to liberate Mosul and the role that our forces are playing in that, and yet we know that it is only part of a wider campaign to eradicate Daesh in the region. As the focus will soon turn to Syria, where there are considerably greater challenges, will he tell us in greater detail what role he expects the RAF to play in the battle for Raqqa and other Daesh strongholds?",2017-03-13 00:00:00,Nia Griffith
Veterans and Service Personnel,,"The point is that I prefaced my speech by saying clearly that while we may be focusing on problems today, we should think as well of the good side of veterans and ex-servicemen and women, and the very many positive qualities that they can bring to employment and to their communities. Before the last general election, Labour made a manifesto commitment to outlaw discrimination against the armed forces, because it is completely unacceptable for any service member or veteran to be denied a job interview or access to public services because they have been in the forces. Indeed, it goes against a core principle of the armed forces covenant, namely that our forces community should suffer no disadvantage. Sadly, that is not reflected in the experiences of some service members and veterans. Research by the Local Government Association recently showed that nearly 40% of those who had served in the forces felt that their service left them disadvantaged. We have all heard of completely unacceptable examples of service members being turned away from shops or restaurants because they were wearing uniform. Will the Government look again at outlawing discrimination against our forces community? I turn to the worrying news that we had today that the Government have identified a £438 million shortfall in funding for the armed forces pension and compensation scheme. Can the Minister explain how that substantial error occurred in the estimates and give us categorical assurances that the money will be found to provide this vital support for our veterans? Ahead of Remembrance Sunday, we remember all those who have served and we honour their sacrifice. We also need to see firm action from the Government to ensure that our veterans and our forces community receive all the support that they are entitled to.",2016-11-08 00:00:00,Nia Griffith
Veterans and Service Personnel,,"I refer the Minister to figures from the Royal British Legion pointing out that whereas the general population has a 6% incidence of depression, the figure for veterans is 10%. Will he therefore withdraw his earlier comments?",2016-11-08 00:00:00,Nia Griffith
Mosul: Reconstruction and Governance,,"We welcome the progress in the operation to liberate Mosul and we fully support this important offensive. I recently met the Iraqi ambassador, who reiterated the need to defend the border between Iraq and Syria to ensure that Daesh cannot return to re-establish itself in Mosul or anywhere else. What role will the UK play in securing the border and defending the territorial integrity of Iraq?",2016-11-07 00:00:00,Nia Griffith
Defence Spending,,"It is right that the Government are sticking to our NATO commitment to spend 2% of GDP on defence, but as the Select Committee on Defence has noted, the Government are doing so only by including areas that were not previously counted. Can the Minister tell us what defence expenditure would be as a percentage of GDP if we used the accounting rules that were used in 2010?",2016-11-07 00:00:00,Nia Griffith
Defence Estate,2017-05-01 17:24:00,"I thank the Secretary of State for sight of his statement. We on the Labour Benches recognise that the requirements of the defence estate will change, and that there is a need to modernise to reflect that. The Government are right to seek to restructure the estate to ensure that we optimise our military capability and deliver value for money for the British taxpayer. The changes proposed in the report are very considerable in scale, and there is a real need to ensure that they are delivered in a way that does not cause undue challenges to our forces and their families. The closing of so many bases will affect the livelihoods of a very significant number of people. The potential impact on communities with a long garrison history such as the City of York will be far-reaching: servicemen and women and their families will be required to move, and civilian staff will face redeployment. In the meantime, many face gnawing uncertainty, as the exact relocation of their base has not yet been decided. Will the Secretary of State tell us how the Ministry of Defence will be consulting with all stakeholders? What will he do to minimise the period of uncertainty for all those concerned? What help and support will be given to employees who are not able to move? The Public Accounts Committee has criticised the Government’s record on achieving value for money when disposing of public land. Will the Secretary of State set out how he will safeguard the public purse by ensuring the best possible price for taxpayers, and what commercial expertise will he bring in? Given the need to protect the defence budget, what discussions has the Secretary of State had with the Treasury about how much of the money realised by the sale of MOD assets will actually be retained by the MOD? Finally, the Government have made much of releasing publicly owned land on which to build new homes, but we know that the Government’s record on house building has not matched the rhetoric of their promises. Will the Secretary of State assure us that the 55,000 houses that he says will be built on former MOD land during this Parliament will be located in areas where there are housing shortages, and that they will be homes that people can genuinely afford to rent or buy?",2016-11-07 00:00:00,Nia Griffith
Veterans and Service Personnel,2017-05-01 17:21:00,"I congratulate my hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) on securing today’s debate and all those Members from across the UK who have taken part. My hon. Friend started by telling us about Pizza Pronto and its efforts down by Penarth pier. He also referred to the absolutely excellent work done by the Royal British Legion. Members on both sides of the House wish to thank the Legion and the many charities who do so much for our armed forces and veterans. My hon. Friend referred to those of many faiths who will be coming together this week to pay their respects. He also looked back at the role of women in the first world war, including the Canary girls in the munitions factories, one of whom was his grandmother—",2016-11-08 00:00:00,Nia Griffith
Veterans and Service Personnel,,"My hon. Friend is so young. He told us some very moving stories of veterans he has met who have suffered major trauma, both physical and mental. The hon. Member for Berwick-upon-Tweed (Mrs Trevelyan), chair of the all-party group on the armed forces covenant, stressed how important it is for MPs to speak up for servicemen and women, as they cannot speak up for themselves. She spoke movingly of her own experiences, having seen the fine work done by many charities. She reminded us, too, of the current engagement of our armed forces, the stress caused by under-manning and the dreadful effect on morale of redundancies and base closures. The hon. Member for Strangford (Jim Shannon) reminded us poignantly of those who were killed or injured in Northern Ireland. He paid tribute to the work done by charities and talked of the high number of veterans who have taken or tried to take their own lives. He mentioned the problem of veterans who are under the radar and not known to the authorities or to charities. The hon. Member for Torbay (Kevin Foster) told us the wonderful tale of Johnny the Dambuster and paid tribute to the excellent work of the Royal British Legion. He mentioned his participation in the 22/22 challenge. I took the lazy way out: I just abseiled for Combat Stress, which is an awful lot easier than doing 22 press-ups. Many hon. Members have contributed to charities that are working hard for our veterans, and we appreciate the work being done. The hon. Member for Stirling (Steven Paterson) described the specific provision for veterans in Scotland and stressed the need to recognise the strengths and qualities of veterans and the contribution that they can make to society, rather than seeing only problems. He also discussed the importance of working outside traditional silos. Remembrance time is when we remember all those in our armed forces who have made the ultimate sacrifice, giving their lives in service to our country. Later this week, people from all walks of life—young and old—will turn out for events across the country to pay their respects. For many people, the image they have of veterans is one of elderly servicemen and women at the Cenotaph or the local war memorial—an image that has been reinforced in the past two years by the events that have, quite properly, been held to commemorate the first world war. This week is an especially poignant time for families and friends who are still living with the loss of loved ones. I was very privileged last week to attend a special service to unveil and dedicate a new memorial in Llanelli in readiness for Remembrance Day. The memorial commemorates the 15 brave servicemen from Llanelli killed in eight conflicts since the end of the second world war, including those killed most recently: Lance Corporal Ryan Francis, killed in Iraq, and Lance Corporal David Dennis and Corporal Jamie Kirkpatrick, killed   in Afghanistan. On behalf of all of us, I would like to thank all those who have worked hard and given generously to ensure that we have a fitting and lasting memorial in Llanelli to those brave men. I very much welcome the decision by the Royal British Legion to choose rethinking remembrance as its theme for this year’s Remembrance Day, reminding us that the poppy appeal is about not only commemorating those who died many years ago but remembering our modern-day veterans, showing our gratitude for their service and ensuring that the armed forces covenant really does deliver prompt access to the quality services they need. It is important that our perceptions and priorities move with the times. In our parents’ generation, practically everyone personally knew a family member, friend or neighbour who had served in the armed forces. However, nowadays, not everyone knows serving members of the armed forces or veterans personally, so their perceptions may be more heavily influenced by what they see in the media. It is vital that, as we discuss the provision of the best possible services for our veterans, we do not let our focus on some of the problems lead to negative stereotyping. Many ex-servicemen and women adapt very well to civilian life: they use the skills they have acquired in the forces, or they develop new ones, and they settle well into workplaces and communities. Regardless of whether veterans have any particular difficulties, all of them should have prompt access to appropriate services. The aim should be to provide a smooth transition and to deal with concerns before they develop into problems. When Labour was in government, we did much to pave the way for the introduction of the armed forces covenant. The first military covenant was published in 2000, and it was my right hon. Friend the Member for Kingston upon Hull West and Hessle (Alan Johnson) who, as Health Secretary, ensured that veterans got priority treatment on the NHS. It is encouraging that there has been such enthusiastic recognition of the armed forces community covenant by many local authorities and local service boards, but application and outcomes are very variable. In Labour’s 2015 manifesto, we recognised the need for the covenant to be strengthened. One action we proposed was to create a veterans’ register to make certain that our veterans receive proper support on leaving service. We therefore support the Royal British Legion’s “Count them in” campaign, as I understand Members on both sides of the House do, to have a question on the next census to identify veterans. That would be a simple way of acquiring an additional source of information, which would tell us about the veterans living in our communities and allow public services better to meet their needs. Service leavers and older veterans could be given more encouragement to mention the fact that they are veterans. There may be many reasons why they do not self-identify: it simply does not occur to them, they do not wish to be pushy, or they feel there is some form of stigma attached. Therefore, identification needs to be done proactively, through a scripted question. One starting point highlighted in the best practice guide is the way that some local authorities have included a question about veterans on some of their forms to help them   collate data on veterans. What consideration have the Government given to developing that into a standard format on a number of forms—for example, questions on GP registration forms or local authority forms? It is simply not enough for the Government to say that the community covenant has been embraced by various public bodies. The will is there, but how effective is it in practice? It can be tempting sometimes just to visit those who are taking the lead and who are proud to show us what they are doing, whereas the focus needs to be on ensuring that there is effective practice everywhere.",2016-11-08 00:00:00,Nia Griffith
Veterans and Service Personnel,,"We do indeed need a much more consistent approach to the whole use of data, as the hon. Member for Stirling (Steven Paterson) said. Consistency of services is absolutely critical. It is no easy matter when dealing with the many varied ways in which our public services are organised, with different systems of local government, health trusts and clinical commissioning groups—and that is just in England, never mind in other parts of the UK. We should not forget, either, that many of these public bodies are also under considerable strain as they face cutbacks and increased demand. The Minister may point to the annual report and to the best practice guide, but these alone will not drive change and improve outcomes, so what strategies are the Government proposing to ensure that service providers—health boards, local authorities and so on—are implementing the armed forces covenant effectively? Are veterans being effectively identified and helped? Has the Minister developed ways to measure not only the experience of veterans and their families, but what is being done and whether it is effective? The challenge is to find how to monitor and evaluate the implementation of the covenant in ways that are effective but not overly burdensome or bureaucratic. There is a need to enable the Government to identify and rectify areas of weakness and to inform future policy. What progress is the Minister making in this respect? The forces charity, SSAFA, has reported that forces families are still facing real challenges when accessing housing or school places for their children. It is therefore clear that the Government need to do more to make councils aware of the local needs of forces communities. What consideration have the Government given to finding a consistent way of measuring and monitoring what is actually happening and the experience of veterans and their families? Half the ex-service community has a long-term illness or disability, and it is therefore essential that the MOD ensures that all veterans get access to the healthcare they need—and likewise for mental health conditions. While most members of the forces community have good mental health, there is a higher prevalence of   conditions such as depression and post-traumatic stress disorder in the forces, particularly among groups such as reservists and early service leavers. Under the armed forces covenant, the forces community should receive priority healthcare where their condition relates to their service, but as the health service in England becomes more fragmented and there is growing pressure on the NHS budget, what monitoring are the Government doing to ensure that our service members and veterans get the help they need?",2016-11-08 00:00:00,Nia Griffith
Veterans and Service Personnel,,"I think we all recognise that there are certain problems that may not have been identified, and perhaps people are reticent in coming forward. As the Minister suggests, many other people who are not veterans suffer from mental health problems as well. The employment gap is not one of the four areas covered by the covenant—housing, health, education and inquests—although it is very much linked to the first three. However, there is help from some firms who are signed up to the corporate covenant. We should be very concerned that only 80% of service leavers are employed six months after leaving the armed forces. A lot more needs to be done to understand why that is and to remedy it. These are people of working age who have skills and experience, and who have recently been in employment, so the figure of 20% not in employment is far too high. Job centres do not run specific programmes for service leavers, but nevertheless, those seeking employment should have access to the usual support. What discussions has the Minister had with his colleagues from the Department for Work and Pensions to improve outcomes for service leavers? Is appropriate information about service leavers collected and analysed, and what analysis has been done of the effectiveness of the support given to those who were made redundant? Has anything been done to upskill jobcentre advisers to deal specifically with service leavers? Are those advisers fully aware of the skills that service leavers have, and are they matching those skills to appropriate job opportunities and interviews? Service leavers bring with them a whole range of skills: the job skills that they acquire, the personal qualities that they develop and the organisational and team-working skills that they learn. What are the Government doing to promote the advantages of employing ex-service personnel among employers who are not signed up to the corporate covenant? Will the Government look at practical ways of helping veterans to access employment, such as the veterans interview programme, which Jim Murphy piloted, in which companies voluntarily guarantee to interview jobseeking ex-forces personnel? It is very worrying to hear anecdotal evidence that some employers seem to be prejudiced against service leavers, perhaps because of negative stereotyping. It is extremely important that we tackle any negative stereotypes, and I would like to ask the Minister what we are doing in this respect.",2016-11-08 00:00:00,Nia Griffith
Wales Bill,,"Will the Secretary of State explain clearly to us what the difference is between a German state-owned railway running a railway in Wales and a public body in England, or a Welsh Government-supported public body, doing so over the border?",2016-09-12 00:00:00,Nia Griffith
Wales Bill,,"I rise to speak to new clause 3, on railways, and to amendment 2, on the community infrastructure levy. Back in our Labour manifesto for the 2011 Assembly elections, we put forward the idea of exploring the possibility that a not-for-profit organisation should have the option to bid for the Wales and Borders rail franchise, in the same way that Dwr Cymru Welsh Water is owned by a not-for-profit organisation. Giving the Welsh Government further powers over rail transport brings decision making closer to people in Wales. Currently, the provisions of the Railways Act 1993 mean that it is not possible for a public sector body to bid for the franchise, which limits the options. Yet, ironically, a German state-owned company can operate the very same franchise.",2016-09-12 00:00:00,Nia Griffith
Wales Bill,,Will the Minister give us an assurance that he will do everything possible to hurry up the negotiations and ensure that everything is done to facilitate the smooth operation of the apprenticeship levy? There is a lot of uncertainty for Welsh colleges and Welsh young people about how it will work.,2016-09-12 00:00:00,Nia Griffith
Wales Bill,,"I thank the Secretary of State for his clarification. The Bill offers an excellent opportunity to give the powers I mentioned to Wales, giving us the same powers as Scotland now has under the Scotland Act 2016. I do not accept the Secretary of State’s pretext for not accepting the new clause—that the time is wrong. This measure could be included in the Bill, whether or not sufficient time is available for bidding under any particular franchise timetable—the measure would be in the Bill, and it would be ready for whenever a new franchise timetable was put in place. The Secretary of State has now clarified the point about Dwr Cymru, which, of course, does serve customers in England—we need to remember that. I am sure that a Welsh-operated rail service could equally do so, whether operated by a public body, a not-for-profit organisation or a private company. The Welsh Government have a strong track record of supporting rail services, from strengthening the Loughor bridge so that the dual track could be restored to ease congestion, to improving the valleys lines and pushing for electrification; supporting improvements to stations and surrounding areas, including integrated transport hubs, and developing plans for the Cardiff metro—not to mention supporting the Heart of Wales line, with exciting plans now to link the line to community regeneration, and looking at the feasibility of reopening the Carmarthen to Aberystwyth line. We now need to drive forward further connectivity across the Swansea Bay city region by improving services to and from Llanelli, Burry Port and Kidwelly and by developing the Swansea 9 lines services in the valleys around Swansea. I very much hope that the Secretary of State will rethink and will give the Welsh Government full powers and full options to look at every possibility for allowing not-for-profit companies, publicly owned bodies and so forth to bid for railway services in Wales. On the community infrastructure levy, planning matters are wholly devolved, so it makes sense that the community infrastructure levy should be devolved too, given that it is an integral part of planning. The Secretary of State makes the point that developers could be put off by differences. Well, there are already some differences. The same argument was used against devolving building regulations, but they have now been devolved. It is up to the Welsh Government to think through whether particular differences will be a disadvantage or an advantage to Wales. Having the powers does not necessarily mean that they will have to make things different for the sake of being different; it is a discretion that is there to be used. It is crazy not to devolve this power when the CIL is so much part of the planning system.",2016-09-12 00:00:00,Nia Griffith
Wales Bill,,"Indeed, my hon. Friend is absolutely right—we have the explanation from the horse’s mouth, because he had to deal with this practically, in his everyday business, before he came into this place. I hope the Secretary of State will look again at this and consider very seriously the devolution of powers over the community infrastructure levy to the Welsh Government.",2016-09-12 00:00:00,Nia Griffith
Liberation of Mosul,,"The horror that Daesh has inflicted on the people of Mosul since it captured the city in June 2014 is unimaginable: women killed for not wearing full Islamic veils and gay men thrown from buildings. We fully support the operation to liberate the city, because Daesh, in its evil ideology, must be defeated wherever it emerges. I say that not only to protect the people of Iraq and Syria who have suffered such a great deal, but to protect our citizens here in the UK from the global threat posed by Daesh. I appreciate the answer that the Secretary of State gave to my hon. Friend the Member for Barrow and Furness (John Woodcock). Although I fully accept that he cannot divulge the operational details on the Floor of the House, I ask him to set out in greater detail the full extent of the RAF’s involvement in the future, and how he intends to keep this House informed? A number of forces are assisting with this important offensive, including militia groups and paramilitary figures, but there is concern about what would happen if some of these groups were to go into the city. What assurances has the Secretary of State had from the Iraqi authorities that, as the Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East (Mr Ellwood), indicated earlier, it is only the Iraqi army and Iraqi police who will enter Mosul? We expect this offensive to last weeks and possibly months, but, once it has been completed, there will be a need to secure and defend Mosul to ensure that Daesh is driven out for good and that the city does not descend into sectarian fighting. Will the Secretary of State tell the House what preparations are being made to protect the citizens and to rebuild the city, including the city’s infrastructure? On the humanitarian situation, the United Nations has warned: “In a worst-case scenario, up to 1 million people could be displaced” as a result of this offensive. Will the Secretary of State set out in greater detail what humanitarian assistance   the UK will be providing, not just in the immediate term, but in the longer term, to support any displaced people? We stand in solidarity against Daesh and its wicked ideology, and with the brave armed service personnel who will be assisting vitally in this important campaign.",2016-10-18 00:00:00,Nia Griffith
Iraq and Syria: RAF Campaign,,"In the run-up to Remembrance Day, we think of all those who have served our country as well as those who are currently serving it around the world, and we remember the immense sacrifices that have been made to defend our freedoms. We support the RAF’s involvement in the campaign to liberate Raqqa. Daesh has used the city as its headquarters to plot attacks against British citizens, and it is vital that that evil organisation is routed for good. Before launching the operation to free Mosul, the Iraqi Government made careful plans about exactly which groups would be allowed to enter the city to avoid the real risk of sectarian violence. Will the Secretary of State tell us whether similar plans have been made in respect of Raqqa?",2016-11-07 00:00:00,Nia Griffith
Wales Bill,,"I welcome the additional energy consents that the Government are now going to include in the Bill, and I especially welcome the measures relating to grid connections. When planning consent has been determined in Wales for energy projects such as wind turbines, the issue of grid connection has imposed an additional bureaucratic burden. Until now, it has been a matter reserved to the United Kingdom Government, which makes no sense at all. I support amendments 70 to 76, tabled by my hon. Friend the Member for Newport West (Paul Flynn), which would extend the Welsh Government’s power to determine planning consent for energy projects not just to 350 MW, but to 2,000 MW. That would cover not only the Swansea tidal lagoon but the planned further lagoons for Cardiff and Newport, and I hope very much that Members will support the amendments. Not only do tidal lagoons offer predictable clean energy, but the Swansea proposal will not cost the taxpayer a penny until it actually produces electricity, and, moreover, the bosses are very committed to sourcing components as locally as possible. The beneficial effect of companies producing components for tidal lagoons not just in Swansea but in Cardiff and Newport will be apparent to all.",2016-09-12 00:00:00,Nia Griffith
