date,text,mp,debate,time
2017-02-01 00:00:00,"Exactly. There is such a thing as an anti- terrorism strategy that is misconceived, counterproductive and does not actually make people any safer. Let me quickly return to the question of the police being called because a child in a Bedfordshire school had a plastic gun. The Minister claims that had nothing to do with Prevent. All I can say to him is that the Central Bedfordshire Council local education authority admitted that the teachers were attempting to act in accordance with the Government’s Prevent guidance, and they admitted that they would not have called the police if a white child had received a toy gun. Let me quote the child’s mother, who is probably closer to the situation than the Minister. She said: “To this day, I cannot fathom why a teacher who has known my family for years would suspect terrorist activities based upon a plastic toy gun. Our only distinguishing feature is the colour of our skin. I was utterly humiliated by this experience—but more importantly my sons were confused and terrified. They had to move schools, lost important friendships and…lost trust in their teachers. They will carry the scars of this experience for some time yet.” The sole reason why they were singled out was the Prevent programme. An anti-terrorism programme that has that kind of result with innocent families and mothers and children is clearly at risk of being wholly counterproductive. As other hon. Members have said, the report from the Open Society Justice Initiative analyses the effect of the Prevent strategy on the education system and the NHS. It states that the effect is to erode trust, because it is draconian and therefore counterproductive. There is a long line of reports critical of the Government’s failing strategy. The National Union of Teachers has mounted a sustained criticism of Prevent and passed a motion opposing it outright, as has the National Union of Students. Other teaching unions—the University and College Union and NASUWT—have also opposed it. Liberty has made strong criticisms. Organisation after organisation is calling for either reform of Prevent or certainly review. None of these organisations has any sympathies with terrorism, or acts as an apologist for it; their members and supporters are the potential victims of any terrorist incidents that are committed here. The Joint Committee on Human Rights has again called for a review, arguing, as so many hon. Friends have argued this afternoon, that Prevent has the potential to drive a wedge between the authorities and entire communities. It is clearly targeted at one community. The Government’s own report, “The United Kingdom’s Strategy for Countering Terrorism: Annual Report for 2015”, stated that 70% of referrals were linked to “Islamist-related extremism”. As hon. Members have said, with a power and an authenticity that I can only hope to match, that is having an alienating effect on a whole community. It worries me that Ministers will not recognise that fact, and I believe that the alienating effect is made worse by some aspects of the Casey review. Of course the Government have a duty to protect the right to life of all their citizens. That includes, but is not confined to, terrorism. The problem with the Prevent strategy is that it seems to be failing in its stated objective; it is not necessarily preventing the growth of terrorism, because it seems to be counterproductive. It tramples on hard-won rights and demonises whole communities. As the hon. Member for Telford pointed out, it tends towards criminalising ideas, towards saying what people should be allowed to think, which is contrary to British values. Even with the widespread concern on the ground about Prevent, more than 400 children under 10 have in the past four years been referred to the police’s Channel programme, which is part of Prevent—400 children under 10. Families are terrified that their children will be taken from them, guilty of engaging in playground games, play-acting or childish bragging. The National Police Chiefs Council says that 80% of all referrals require no action at all. Anti-terrorism is a serious issue, and effective anti-terrorism is always intelligence-led. That must be fully supported and resourced. Prevent is the opposite of an intelligence-led policy. Any counter-terrorism strategy that depends on sending the police to interview seven-year-old children who happen to have a plastic gun is misconceived. It is my view, and that of Opposition Members generally, that it is time for a major review of Prevent and a fundamental rethink by the Government.",Diane Abbott,Prevent Strategy,
2017-02-09 00:00:00,"Last year, I visited a number of refugee camps in Europe, including some in Lesbos. I met the Red Cross volunteers who were saving refugees from the sea, and they said to me that the worst thing was the children. The worst thing about this Government’s failure to step up to the totality of the refugee crisis is the children. In a written statement yesterday, the Minister for Immigration said: “All children not transferred to the UK are in the care of the French authorities.” They might technically be the responsibility of the French authorities, but many of those children are not being cared for at all. They are sleeping on the streets and in informal encampments, and they are making their way back to Calais, to Dunkirk and to the mud. Will the Home Secretary tell me how the UK plans to find, screen and process the 150 extra Dubs children, and from which countries they will transferred? What conversations has the Home Office had with the French, Italian and Greek Governments regarding taking such a small number of children? How does she live with herself when she is leaving thousands of people— [ Interruption. ]  Members opposite can jeer, but I ask her how she can live with herself when she is leaving thousands of children subject to disease, people trafficking, squalor and hopelessness.",Diane Abbott,Unaccompanied Child Refugees,
2017-03-14 00:00:00,"As one of the few people in the Chamber who was actually in the House when immigration detention as we know it was introduced, I have never forgotten that when we queried the lack of due process and safeguards we were told that people would only ever be   in detention for a few months. The use of immigration detention has mushroomed, and the length of time has expanded, and that has shone a light on the lack of due process. We should never forget that none of these people, as matters stand, has committed a crime.",Diane Abbott,Detention of Vulnerable Persons,
2017-02-23 00:00:00,"Terrorism is the scourge of modern democracies. It has meant that the frontline of international conflict has moved from the battlefield to our homes and high streets. There will therefore be natural public concern about the case of Jamal al-Harith, who was allegedly paid £1 million in compensation by the UK Government following his incarceration in Guantanamo. There will also be natural public concern that the Minister has chosen to hide behind the notion of sensitive intelligence in order to fail to answer even the simplest factual questions about this case. I repeat: was there any payment? We do not need to know exactly how much, but was there any payment? Is there any truth in the idea that the settlement was designed to prevent al-Harith from making embarrassing revelations about our acquiescence in and enabling of the torture of a UK citizen? Given the monitoring of British detainees after their release from Guantanamo, how was he able to leave the country and travel to Syria in 2014? Will the Government review this case and refer it to the Intelligence and Security   Committee, which we believe would be the appropriate, and secret, method of dealing with these very important issues?",Diane Abbott,Jamal al-Harith,
2017-02-01 00:00:00,"The hon. Lady talks about children. Is she aware of a recent case in Bedfordshire where a school called the police because a seven-year-old child had been given a plastic gun as a present? Neither of the child’s parents was an observant anything; the father was a lapsed Muslim and the mother was a Hindu. If Prevent has reached the stage where people call the police on seven-year-old children, something is wrong.",Diane Abbott,Prevent Strategy,
2017-01-23 00:00:00,"The entire House knows that the Leveson inquiry was always meant to have two parts, but the Government seem poised to break a promise, hiding behind a completely gratuitous inquiry. The whole House knows about cases such as those of Milly Dowler and the totally innocent   Christopher Jeffries in Bristol, whose photo was plastered all over the tabloids as a murder suspect, as a consequence of collusion between the police and the media. Why cannot the Minister see that it would be nothing less than a betrayal of the victims of phone hacking, such as Milly Dowler and Christopher Jeffries, if this Government block the second half of Leveson?",Diane Abbott,Leveson Inquiry,
2017-02-23 00:00:00,"I have listened with a lot of care to all the speeches by Members on both sides of the House and now I have to make progress in order to leave time for my hon. Friend the Member for Wirral South. I have visited the camps in France and Greece. The children there may be in safe countries, but they are living in horrible conditions. That is despite the fact that so many local people do their best to be kind and helpful. Far from arguing, as some Members in this House have done, that providing more safe and legal routes from Europe is some kind of incentive, as if it is a choice, no one who has visited the camps and informal encampments and looked these families and children in the eye can seriously argue that they have come to Europe on some sort of jaunt and can easily be turned back. Remember that these are families and young people who have risked their lives, who have seen people die crossing the Sahara and who have then risked their lives again crossing the Mediterranean. Of course it is true that the French Government should have done more in the past. It was because the French were so slow originally to register refugees of all ages that so many set their hearts on the UK, but let us   be realistic about the conditions facing refugees in Europe. In Greece, the conditions facing asylum seekers were so dire that as long ago as 2011, the European Court of Human Rights ruled it unlawful to send people back there. Only last year, in December, did the European Commission finally decide that sufficient improvements had been made that other EU member states could start sending people back to Greece. How far have conditions improved really? I am not so sure that they have. Last month, just weeks after the Commission said it was appropriate to send people to Greece, there were reports that three migrants in an overcrowded camp in Moria on Lesbos had died within 10 days of each other. It is thought that the immediate cause was carbon monoxide poisoning, after men sharing overcrowded tents inhaled toxic fumes from the heaters they had been forced to use in the harsh winter temperatures. In Italy, where the number of new arrivals reached its highest ever level last year, conditions may have been worse still. Recent measures requiring the Italian authorities to fingerprint new arrivals have led to shocking abuses, according to Amnesty International. It has documented cases of the police using beatings and electric shocks to force compliance from those who are reluctant to have their fingerprints taken. So say that those countries are technically safe, but do not say that the conditions in those countries are acceptable and justify closing off one of the safe, legal routes for children to come from mainland Europe to this country when they have relatives here or other appropriate legal reasons for coming here. On the question of local government capacity, we have heard that David Simmonds of the Local Government Association says that current Home Office child refugee funding for local councils covers only 15% of the funding costs. That is a serious matter when so many local authorities led by all parties—Labour and Conservative—are under terrible funding pressure. There has been very limited consultation with local authorities. All the evidence suggests that, given more time and appropriate funding, many more councils would step up to provide accommodation for child refugees. An absolute lack of capacity among local authorities simply has not been proven.",Diane Abbott,Unaccompanied Children  (Greece and Italy),
2017-02-23 00:00:00,"I agree that this is about asking, particularly post-Brexit, what sort of Britain we are: are we a genuinely outward-looking, internationalist and humanist country, or are we a country that seeks ways to avoid its moral obligations? I have to begin by acknowledging the investment and exemplary work of Her Majesty’s Government with regard to those refugees who have stayed in camps in the region. I have visited those camps, but this debate is about the Syrian refugee children and others who are in mainland Europe. Some Members and, sadly, the Minister have implied that if we pretend that those tens of thousands of child refugees who are already in Europe somehow do not exist and do not matter, they will disappear. I must direct the focus of the House to the tens of thousands of refugee children in mainland Europe. I contend that in narrowing the safe and legal routes from Europe for those children, the Government run the risk of acting as a marketing manager for people traffickers. I have visited the camps in France and Greece. These children may be in safe countries, as some Members have said, but they are living in horrible conditions. That is despite the best efforts and the personal kindness of—",Diane Abbott,Unaccompanied Children  (Greece and Italy),
2017-01-10 00:00:00,"I rise to speak to this large group of amendments. In moving on to making what I hope will be brief remarks, I have to say how disappointed I am that the Government were not willing to move on the question of parity of funding, which is an issue not just for groups of families involved in Hillsborough, but, as the   hon. Member for Broxbourne (Mr Walker) pointed out, for individual families whose family members die in police custody. This relates to the previous group of amendments, but I wanted to make that point. Some amendments in this group are welcome. We support the new emphasis on the independence of the new Office for Police Conduct, given the central role it will play in ensuring that the police are held to appropriately high standards. I am glad this has finally been recognised by the Government, and I pay tribute to the work of my noble Friend Lord Rosser. We are also pleased that anonymity for victims of forced marriage will now be extended to Northern Ireland, following the request by the Northern Ireland Minister of Justice. There is also a number of sensible and straightforward improvements to the regulation of firearms, including a clarification of the laws around antique firearms, and alterations of the definition of airsoft guns that should improve public safety. I also welcome the Government’s support for amendments to clause 28 that make it possible for investigations into the most serious misconduct to take place more than a year after the relevant officers have left the service. Credit is due in particular to my right hon. Friend the Member for Leigh (Andy Burnham) for his consistent arguments in favour of this reform. Families and communities who have been the victims of injustices in the past can be reassured that, in future, time need not run out on the service’s own disciplinary procedures. Amendments 94 and 300 grant police officers the power to order a person to remove an item of clothing that is disguising their identity if a senior officer gives them oral permission to do so. This is obviously a practical measure, but we want some reassurance that this power will not be applied indiscriminately to Muslim women who are simply observing their religious beliefs, yet get caught up in the investigation of a crime. We would like the Government to consider ensuring that it is made absolutely clear in police training that the sole proper use of this power is to remove items of clothing that are purposely worn as a disguise. I ask the Government to look again at the language of the 1994 Act and to clarify to prevent such abuse. The amended Bill also contains provisions for posthumous pardons for the victims of unjust laws that have subsequently been repealed. The Minister made a gracious reference to the work of the hon. Member for East Dunbartonshire (John Nicolson), who has tabled a private Member’s Bill on the issue. There is much to welcome in this set of amendments. My noble Friend Lord Kennedy, along with Lord Sharkey, Baroness Williams and others, played a key role in the debate. Lord Cashman made the amendments more comprehensive in scope by including the many men who had been unjustly targeted, and Lord Lexden supported the extension of the legislation to Northern Ireland. Those contributions would have enormously enriched any legislation on this topic. Labour Members are pleased that the Government have apologised, and support the pardons for wrongfully convicted gay men who have now died. Placing an unnecessary bureaucratic burden on victims of injustice was clearly wrong. We also praise the expertise that has featured in the process and the debate. Although we believe that the Government could have gone further—especially in relation to the issue of pardons for people   who were convicted under sexual offences legislation in the past purely because they were homosexual—we do not oppose their amendments. Mindful of the fact that this is the last group of amendments we shall discuss before the Bill returns to the other place, I want to pay particular tribute to the expert views that have contributed to its progress. Many retired and serving police officers have made excellent contributions both here and in the other place, along with many learned members of the judiciary, and that has been reflected in the quality of the debate. It is important to note the expert nature of those contributions because in recent months some disdain has been expressed for expertise, although when it comes to police and criminal policy, expertise does not go amiss.",Diane Abbott,Policing and Crime Bill,
2017-01-23 00:00:00,"Recent revelations from the Public Law Project indicate that country guidance in Eritrea was altered to suggest diminished risks of human rights abuses when there was no evidence to support that, solely in order to lower the number of refugees allowed entry. In a significant case in the upper immigration tribunal last October, it was found that the new Home Office guidance on Eritrea was not credible. We know that the guidance has since been withdrawn, but was the then Home Secretary involved in the issuing of that wholly misleading guidance, and can the present Home Secretary say how many refugees may have been wrongly denied entry and how many of them were children?",Diane Abbott,Topical Questions,
2017-01-23 00:00:00,"The whole House knows that it is vital to maintain our global reputation as an open and fair place to study, but in mid-December last year the Home Office lost a major test case against international students. The Home Office claimed that the students had made bogus claims about English language skills. What were the total legal costs in this test case against Sharif Majumder? How many other cases were initiated and had to be dropped? What estimate has been made of the potential liability   arising from students who were deported on the basis of evidence-free claims, but might now have a right to sue for wrongful deportation?",Diane Abbott,International Students,
2017-02-01 00:00:00,"It is a pleasure to serve under your chairmanship, Sir David. I, too, congratulate the hon. Member for   Telford (Lucy Allan) on initiating this important debate. I think that the Muslim community can take some reassurance from the fact that MPs of all parties and from all parts of the country are scrutinising how the Prevent strategy works in practice. Clearly, the first duty of Government is to protect the citizen. As hon. Friends have said, it is nonsense to say that those of us who are asking questions about Prevent are somehow careless of the threat of terrorism. I remember the 1996 IRA bomb at Canary Wharf—I was standing in my kitchen in Hackney when I heard it go off. Do not tell those of us in our great cities, who have sometimes had very close engagement with the after-effects of terrorism, that we do not take it seriously. Of course the Government have to have a counter-terrorism strategy. I have met people from the Metropolitan police’s counter-terrorism command and been very impressed by much of their work. However, what President Trump shows us is that there is such a thing as an effective counter-terrorism strategy, but there are also ineffective and counterproductive counter-terrorism strategies. It is now very clear to everybody that banning people from seven majority-Muslim countries, plus green card holders, plus Syrian refugees, from coming into the US has been wholly counterproductive and unsuccessful.",Diane Abbott,Prevent Strategy,2017-05-01 15:39:00
2017-02-23 00:00:00,"I congratulate my hon. Friend the Member for Wirral South (Alison McGovern) and others on securing this important debate. We have heard powerful speeches by my hon. Friend, my right hon. Friend the Member for Normanton, Pontefract and Castleford (Yvette Cooper), the hon. and learned Member for Torridge and West Devon (Mr Cox), my hon. Friend the Member for Ealing, Southall (Mr Sharma), the hon. Members for Mid Derbyshire (Pauline Latham) and for Dundee West (Chris Law), the right hon. Member for Loughborough (Nicky Morgan), my hon. Friend the Member for Bradford West (Naz Shah), who informed us that she has actually fostered refugee children, which gave what she had to say added significance, the hon. Member for Wellingborough (Mr Bone), my hon. Friend the Member for Walthamstow (Stella Creasy), the hon. Members for South Cambridgeshire (Heidi Allen), for Enfield, Southgate (Mr Burrowes), for Colchester (Will Quince) and for Aldridge-Brownhills (Wendy Morton) and, finally, the hon. Member for Cumbernauld, Kilsyth and Kirkintilloch East (Stuart C. McDonald). Most Members, on both sides of the House and from all parties, have made it abundantly clear that in effectively closing the Dubs scheme after accepting a mere 350   children, the Government have fallen far short of what Members in both Houses thought they had voted for.",Diane Abbott,Unaccompanied Children  (Greece and Italy),2017-05-01 18:01:00
2017-01-31 00:00:00,"Let me say what a pleasure it is to serve under your chairmanship, Ms Ryan. We all commend you for the dedication you have shown, despite the challenges you faced this morning, in being here promptly to preside over this debate. I congratulate the hon. Member for Cumbernauld, Kilsyth and Kirkintilloch East (Stuart C. McDonald) on bringing forward this debate on an important subject. Any MP with any minority communities in their constituency will have experienced the unfairness of these rules. We are here to discuss the fairness, practicality and justice of the maintenance funds requirements for spouse and partner visas. Sometimes people talk about these issues, in particular in the tabloid press, as though fairness and justice in relation to migrants is not a concern of the British people. However, I was outside No. 10 last night at the biggest demonstration on Whitehall that I have seen in 30 years as a Member of Parliament. Those people were concerned precisely about the fairness and justice of the way the new American President is treating migrants, such as the complete suspension of refugees entering the country and barring people from an arbitrarily chosen list of majority Muslim countries. Sudan is on the barred list but Saudi Arabia is not, where all the 9/11 terrorists came from but, by coincidence, President Trump still has business interests. The remarkable thing about that huge and, for the most part, good-natured demonstration was that the vast majority of people who had come to demonstrate at very short notice were not from the communities affected; they were British people concerned about fairness and justice in relation to migration.",Diane Abbott,Immigration Rules:  Spouses and Partners,2017-05-01 10:20:00
2017-01-31 00:00:00,"Exactly. I am grateful to the hon. Gentleman for showing how the demonstration corresponds with this morning’s debate. The issue is not just that they are seeking to tighten immigration rules in the United States, but the harshness, the unfairness and the arbitrary way of how it has been done. These maintenance funds requirements are another example of harshness and unfairness, and of not thinking through how the changes would operate in practice. I have no hesitation in saying that this policy and these maintenance funds requirements are impractical, unjust and counterproductive. As other Members have reminded us, this issue is still before the courts. This is not just a question of Opposition MPs making all sorts of aspersions on Government policy. In July 2013 the High Court did not actually strike down the rules as unlawful in general, but did find that the way they are applied amounts to a disproportionate interference with family life in certain cases. Several Members have raised the issue of the interference of these rules in family life. In July 2014 the Court of Appeal allowed the Government’s appeal against the High Court decision. In May 2015 the Supreme Court granted permission to appeal against the Court of Appeal’s decision; it heard the appeal last year and is yet to hand down judgment. We might think that, faced with court rulings saying that these maintenance funds requirements have a disproportionate effect on family life, any Government concerned about supporting family life might step back and review their operation. When all is said and done, however we define a husband and wife and however we define a family, strong families are one of the building blocks of our society. Whatever their concern about what the tabloid press says about immigrants on any given day, no Government should wilfully pursue policies that have the detrimental effect on family life that these maintenance requirements do. Like many Members who have spoken, I deal with the practical consequences of these rules every week in my advice sessions. As we all appreciate, I have the difficult task of trying to explain to distraught husbands or wives that these rules exist and that because of someone’s country of origin, they face this arbitrary hindrance on family reunion. In June 2013, as other Members have mentioned, a report by the all-party group on migration called for an independent review of the requirement and its impact. The Government have yet to respond to that demand. As we know, the policy requires non-European economic area visa applicants to have available funds equivalent to a minimum gross annual income of £18,600. It is inherently discriminatory because it requires a higher income threshold in cases that include non-EEA children. It is also discriminatory because in many cases only the British and settled visa sponsors’ employment income can be considered. It discriminates against women because their incomes tend to be lower, and effectively encourages family and partnership break up. As other Members have said, the Migration Observatory found that 28% of non-EEA men and 57% of non-EEA women did not   meet the threshold. Consequently, the policy hits some ethnic groups harder than others, notably Pakistani and Bangladeshi applicants.",Diane Abbott,Immigration Rules:  Spouses and Partners,
