text,time,date,mp,debate
"As you know, Mr Speaker, this morning the Prime Minister called a general election. She is breaking her commitment not to hold an early election, which was made only weeks ago. She has blamed Brexit, she has blamed our European neighbours and she has blamed the Opposition parties, but the real truth is that after seven wasted years of failure the Tories have failed to close the deficit; they have added £700 billion to the national debt; pay has fallen behind prices; 4 million children are growing up   in poverty; our schools are in crisis; more people than ever are on NHS waiting lists; more families are homeless; and more elderly people are not getting the care they need. Will the Chancellor use this last opportunity before the election to apologise to the British people for the utter failure of this Government’s economic policies and for the pain he has inflicted on this country?",,2017-04-18 00:00:00,John McDonnell,Topical Questions
Read your own manifesto.,,2017-03-15 00:00:00,John McDonnell,Class 4 National Insurance Contributions
(Urgent Question) : To ask the Chancellor of the Exchequer if he will make a statement on allegations of money laundering against British banks.,2017-05-01 12:34:00,2017-03-21 00:00:00,John McDonnell,Money Laundering: British Banks
"I hope that the Minister recognises the immense gravity of the situation that we are facing, because I believe that his statement reflects complacency on the part of the Government. Let me go through the allegations, which are of the deepest concern. First, it is alleged that, via an operation referred to as the “global laundromat”, banks based in Britain have been used to launder immense sums of money obtained from criminal activity in Russia linked to the FSB spy agency there.   This appears to point to an overwhelming failure of basic management on the part of the banks. One of those banks, HSBC, is an institution that has previously faced money laundering charges in the US and across the globe. The direct intervention of this Government helped to block a 2012 US investigation on the purported grounds of its potential risk to financial stability. Money laundering through London and elsewhere threatens the stability of our financial sector and our economy. In the case of another bank, RBS, the Government directly own a 72% stake. A third bank, Barclays, has been under investigation for its role in LIBOR rigging. Will the Minister give us specific details of what steps are being taken to address this scandal? Can we have an assurance that there is the potential to open criminal proceedings to break up what is effectively a criminal network? Will the Government also undertake that they will not—as they have in the past with HSBC—attempt to intervene in criminal or other investigations taking place elsewhere in the world? The major risk to financial stability is not from investigations intended to clear out criminal activity from our banking system; it is from inactivity on the part of the Government and others, and from failing to act to ensure that our major banks are clean and fit for purpose. Secondly, all those banks claim to have strict internal policies to deal with money laundering. The Financial Conduct Authority places great stress on the need for banks to self-police and create appropriate internal procedures to prevent money laundering. It is obvious from today’s revelations, however, that the current arrangements are not working to prevent widespread, organised and sophisticated criminal activity. Will the Government tell the House what steps they will be taking to address this matter with the FCA? Will the Government today commit to opening an inquiry with a view to reporting rapidly on measures to be taken that will strengthen the regulations, including introducing tighter controls on and closer monitoring of the banks themselves? Finally, when the Government own major stakes in the banks involved—RBS in particular, since they are no longer able to sell off that stake—there is an immediate need for them to reassure taxpayers that publicly owned banks are not indirectly involved in criminal activity. What steps will the Government, as a major shareholder in RBS, take to investigate the allegations against it and to reassure taxpayers? Our banks have been found wanting yet again. Urgent action is needed from the Government to protect the standing of our finance sector and to protect our economy. Complacency and inaction are not good enough.",,2017-03-21 00:00:00,John McDonnell,Money Laundering: British Banks
"That is a process of bringing MPs together as individuals, not as party representatives—let us be absolutely clear about that. We look forward to any proposals that come forward for consideration from any source. If we can find a practical way forward, we certainly will. The most important thing at the moment is that we have an emergency at the moment. We need £2 billion now, not over three years, because people are suffering now. Families are imploding. I felt a sense of relief when it was trailed that we were going to get £2 billion. I then felt extreme disappointment when we were then   told it would be £2 billion over three years. That was never mentioned in the press releases before the announcement.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"I find it interesting that the response to yesterday’s statement has been anxiety right across the political spectrum. I hope that the Chancellor is listening. I hope that the Labour party and others in the House will combine with some Conservatives who are concerned and that we will force the Chancellor to think again. The Chancellor says that he is concerned about the gap between different contribution rates. We do not believe that the burden of closing the gap should fall on some of the lowest paid workers, but that is the consequence of yesterday’s decision. The Government are making minicab drivers pay more. They are taxing Uber drivers while at the same time cutting the taxes of Uber itself. A hairdresser earning £15,000 a year will be £137 worse off as a result of yesterday’s measures. That cannot be fair—it just cannot be right. And, yes, this is a manifesto betrayal. There was a promise in the manifesto and it read like this: “This means that we can commit to no increases in VAT, Income Tax or National Insurance. Tax rises on working people would harm our economy, reduce living standards and cost jobs.” That was not me or Labour MPs, but the Tory manifesto. The Government have been trying to muddy the waters by talking about a Bill they brought forward in 2015. That Bill sought to cap class 1 contributions—Labour supported it—but it did not even allude to the idea that   any other classes would see increases. To quote the current Chief Secretary to the Treasury speaking in Committee: “we do not have further proposals other than those that we previously set out”. –– [ Official Report, National Insurance Contributions (Rate Ceilings) Public Bill Committee,  27 October 2015; c. 16.] Some have tried to portray yesterday’s announcement as progressive, but what is progressive about raising taxes for low-paid drivers while the Government go ahead with cuts to capital gains tax for a tiny few? What is progressive about raising taxes for low-paid self-employed cleaners while the wealthiest families in the country get an inheritance tax cut? What is progressive about raising taxes for plumbers while multinational corporations see their tax bills slashed year after year? What is not fair is £70 billion of tax giveaways for the wealthiest and the corporations while taxes are hiked for middle and low earners. Just because the higher paid will pay a bit more, that does not make it right for the Government to clobber those on low incomes to plug a gap in their finances. Interestingly, the Government have promised a review, but the tax hike is already scheduled. It may be that there is jam tomorrow on benefits, if one chooses to believe the Government, but who would believe them after they have broken a clear manifesto promise? The Government could not have made their interests more clear in hiking taxes for the self-employed while slashing taxes for the corporations. I quote the Federation of Small Businesses: “Increasing this tax burden, effectively funded by a reduction in corporation tax over the same period, is the wrong way to go”— I agree. Meanwhile, the Government’s small, incremental reforms to business rates fall far short of the radical long-term reform that is needed. They are just trying delaying tactics. Business rates are a ticking time bomb that threatens to destroy many of our town centres. To be frank, this is a Government of the giant corporations and tax avoiders. It is not a Government for workers, not a Government for the self-employed and not a Government for small businesses. Let me turn to the social care system and yesterday’s announcements. Our social care system is in crisis. I have an anecdote about a constituent I visited last week. She is a young woman who looks after her father, who has had seven strokes, and a mother with dementia. She is trying to hold down a job, but cannot get the care. As a result, she has cut her hours, rendering the income into her family and for her own children extremely tight. It is a difficult situation. That one example from my constituency exemplifies what is happening right across the country. People are suffering in that way in virtually every constituency. According to the King’s Fund, social care needs £2 billion now just to cope with the emergency. The Chancellor failed to grasp the scale of the crisis. The money announced yesterday amounts to less than a third of what is needed. What I resented yesterday was that it had been trailed in the media that £2 billion was coming, but we were not told until the last minute that it would be over three years. That is nowhere near enough to meet the crisis that people are enduring at the moment.   There are now more than a million people, mainly older people and frail people, who are desperate for social care but still cannot get it as a result of the failure to address the emergency we are facing.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"Exactly. It is exactly as my hon. Friend says from a sedentary position. The Labour party tried the bipartisan approach. Hon. Members worked in good faith to seek a long-term resolution to this matter. They looked at a range of options, but halfway through the discussions we were, to be frank, betrayed. Instead of a bipartisan approach, it became a political campaign of the worst order. That was a betrayal of confidence. It will take a lot, to be frank, to regain that confidence to enable us to take a bipartisan approach. We are willing to have discussions with anybody anywhere, but the treatment last time went beyond political knockabout. It was an undermining and a betrayal not just of the Labour party but of frail elderly people and their families who desperately need a solution. Families are imploding as a result of the lack of social care, because of the burden they are suffering. The Women’s Budget Group conducted an analysis of the Budget last year and this year. It identified two groups of people who have been hit hardest by austerity measures: younger women with children, and older women. Initially, I could not understand why, but the WBG explained that unfortunately in our culture the burden of care still falls on women. Retired women fill the gap when social care is no longer provided. We are always willing to talk to anyone to find a practical solution, but it is against the backdrop of betrayal and bad faith in the past.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"The threat is there on the record: this country will be a tax haven, according to the threats the Chancellor has issued today. We know from what the Prime Minister is saying right now that she is intent on pulling up the drawbridge and leaving the single market, and possibly the customs union, cutting us off from one of the largest markets on the planet, threatening jobs and public finances. This is not a clean Brexit; it is an extremely messy Brexit. We can already see the consequences in the rise in the rate of inflation. With real living standards squeezed by this policy announcement, is it not time for the Chancellor—I appeal to him—to reconsider his cuts to in-work benefits and withdraw them in full in the Budget in March?",,2017-01-17 00:00:00,John McDonnell,Leaving the EU: UK Economy
"The motion before the House rewrites the rule by which the Government intend to manage their fiscal policy, as the Chancellor has set out. This rewriting is urgently needed because the Government’s previous fiscal rule lies in tatters. As we argued when the old rule was introduced in November 2015, it was a political device rather than a sound economic tool. We argued that the commitment in the previous version of the charter to reach a budget surplus by the end of the decade was unachievable. That became obvious by the Budget of last year, when the previous Chancellor had to stretch budget accountancy to breaking point simply to claim that the economy was still on course to achieve the target. That was well before the referendum. By the summer, the target had to be abandoned entirely. It was dropped because the surplus target was never about sound management. No credible economist could be found to support the surplus target because it had no plausible economic justification. The Treasury Committee rightly concluded that the old surplus rule was not “credible in its current form”. The previous Chancellor made a political choice to impose the surplus target. Therefore, the austerity measures that the target required were not just cruel, but unnecessary. Members will recall that those measures meant that people living with disability were suddenly threatened with the loss of their independence and those going to work, doing the right thing, looking after their children and just attempting to get by were suddenly faced with serious cuts to their income. The tragedy is that all those sacrifices and all that suffering were in vain. The record of this Government in office speaks for itself: at the same time as imposing grinding spending cuts, they have added, as of this morning’s figures, almost £700 billion to the national debt. That is not just more than the previous Labour Government borrowed; it is more than the borrowing of every post-war Labour Government added together. It is equivalent to £25,600 of extra debt for every household in the country.",2017-05-01 17:14:00,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
"I hope that the good humour continues, Mr Speaker, but we will see. I admire the hon. Member for Broxbourne (Mr Walker) for his creativity at all times in raising matters. You and I, Mr Speaker, have watched Budget debates in this Chamber for more than 20 years now. As you probably know, I have referred to the iron law of Budgets: the louder the cheers for the Chancellor on Budget day, the greater the disappointment three days later at the weekend. I am revising that iron law—this Budget did not last three days; it lasted less than three hours. I will address some of the main policy announcements in the Budget, but I believe that overall the Chancellor’s statement evidenced a fundamental difference between the values of our two parties. What we saw yesterday was a Conservative Chancellor boasting about tax cuts to corporations and the rich while refusing to effectively tackle the crisis in social care for the elderly, refusing to properly fund the NHS, and increasing the national insurance burden on many middle and low-income self-employed earners, while at the same time breaking a clear manifesto promise. Our values are these: we believe in a fair taxation system, in which everybody, no matter how rich and powerful they may be, pays their way; and we believe that through a fair taxation system and collective endeavour, the elderly and the disabled should be cared for, the sick should be treated and children should be educated to develop their talents to the full. That was not what we saw in yesterday’s Budget statement. In addition, we adhere to manifesto promises. On the state of the economy, I saw from the Chancellor’s press briefings that all the talk before the Budget was about the aim of providing a positive backdrop for Brexit. That is not the real-world experience of millions of people. Yesterday the Chancellor boasted about economic growth, but what is positive about Britain being the only large developed economy in which wages fell when economic growth returned? What is positive about rising GDP if most people are worse off? What is   positive about the national living wage being revised down again? What is positive about yet more downward revisions to wage forecasts? How can anyone describe an economy as “match fit”, as the Chancellor did, when people in that economy are seeing their standard of living fall and fall again? Wages are still worth less than they were nine years ago. The disposable incomes of non-retired households are less than they were before the financial crisis. The official forecasts are clear: working people, as a result of the Government’s choices and this year’s Budget, will be worse off. According to official forecasts, they will be £500 a year worse off in 2021 than was predicted in the autumn statement. Average earnings are expected to be £200 lower by 2022 than they were before yesterday’s Budget. According to the Resolution Foundation, average earnings are set to return to their pre-crisis peak only by 2022 at best. The Chancellor claimed in one press release that ours is an economy built on resilience; it is, to be frank, an economy built on sand. The fact that unsecured borrowing by households has shot up to levels not seen since before the financial crisis should be a warning sign to us all. Office for Budget Responsibility forecasts show unsecured household lending rising to a shocking 47% of household income by the end of the decade. For many people, such extra borrowing will be done out of desperation—as prices rise but wages fail to keep up, many people dig themselves deeper into debt just to get by. The Chancellor says that he does not want to put the economy on a credit card, but that is exactly what he and his policies are doing—forcing ordinary people into dependence on their credit card. There is no resilience in an economy that is failing in its fundamentals. Business investment fell over the past year for the first time since the depths of the last recession. Companies are cancelling planned investments because they are so terrified of what the future holds under this Government, particularly with the risk of Brexit. They have seen seven wasted years pass without the investment or industrial strategy that they need from the Government, and they are now fearful of the Government’s plans for Brexit. Productivity growth—the engine of prosperity—has stagnated. We now lag far behind similar economies. A typical British worker takes five days to produce what their German or French counterpart produces in four. The Chancellor, in a moment of lucidity, recognised the scale of the problem, but he failed to provide any new funding to deal with it. Worse than that, public sector investment will be £2.3 billion less over the next five years than was planned in the autumn statement. Yes, people celebrated International Women’s Day, but while there were calls for a Budget that works for women, they have been ignored. Women are still bearing the brunt of this Tory Government’s failed austerity agenda, with 86% of cuts falling on women—that figure is unchanged since last year—and the Government have yet again ignored the hundreds of WASPI women who turned up yesterday to lobby Parliament. Things are just as bad as ever for women under this Government. Labour calls on the Government to publish urgently an analysis of the true impact on women of their Budgets and spending announcements, and to explain how they intend to reverse this disproportionate impact. Under a   Labour Government, all economic policies will be gender-audited to ensure that we have an economy that works for all. Let me turn to some of the policy announcements in the Budget, such as on self-employment. The Chancellor’s decision to push a £2 billion tax rise on to low and middle earners who are self-employed makes little sense.",2017-05-01 11:48:00,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"I will tell a quick anecdote. I was on the tube a month ago when a worker got on and sat down next to me. He was in his overalls as he was on the night shift. He had worked for Tube Lines before the company went bust. He is a rail maintenance worker, which is a skilled job, but he is now employed by an   agency and does not know whether he will have work tomorrow, the next day or whenever. He has no sick pay and no holiday pay, and if he does not turn up for work, he does not get paid. He has to pay an accountant to deal with the tax on his salary payments. At the same time, he can be exploited by being sold on from agency to agency. That is not real self-employment; that is the exploitation of someone who has been forced into self-employment. Such issues must be addressed. This insecurity is not just because of the gig economy, but because of what has happened in recent years, with people being forced into self-employment. Those issues were not even addressed yesterday. There is a problem of employers shirking their responsibilities by forcing staff into self-employment. Yesterday, we got not a package of measures designed to address the problems of the modern world of work, but a single, unilateral tax hike for the self-employed. People earning over £8,000 will be hit. The Chancellor tried to disguise that by bundling the measure in with the re-announcement of abolishing class 2 national insurance payments, but yesterday’s Budget documents are clear that this is a tax hike of £2 billion, targeted at the self-employed. Increasing the taxes paid by self-employed people does not move them to parity with the employed, because they do not receive the same benefits as the employed. The Chancellor says that he is concerned about the gap between different contribution rates, but the Labour party does not believe that the burden of closing that gap should fall on some of the lowest paid workers who are also those in the most precarious position in our society.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"The right hon. Gentleman will recall my opposition to PFI and its failures, but let me be clear: to borrow for investment, to ensure that people have the skills and resources necessary to tackle the productivity crisis and thereby grow the economy and create the high skills and wages which mean that people can pay their taxes and fund our public services, is creditable; however, what we have seen over the last seven years is borrowing because of the failure of the Government’s economic policy. In the past seven years, the Government have actually cut investment, and the consequences of insufficient investment are painfully clear. Austerity measures and low investment have fed directly into what the Governor of the Bank of England has called a “lost decade” for earnings. Productivity growth has stagnated, as even the Government’s own industrial strategy White Paper acknowledged. I share the Chancellor’s concerns: every hour worked in Britain now produces a third less than every hour worked in the US, Germany and France. We have been arguing that case at least since I became shadow Chancellor, but we had no acknowledgment of it from the Government until yesterday. With that record of under-investment, it is no use those on the Government Benches talking about a post-Brexit Britain taking on the world. An economy with low productivity can only compete on the lowest common denominator, and that means, as has happened, slashing wages and salaries and hacking away at social protections, such as the NHS and pensions. This is the grim reality of the Conservative’s low-investment, low-productivity, low-wage economy, and it can easily get worse. For some on the Government Benches, an economy shorn of basic protections in the workplace, with rock-bottom wages and social spending provisions stripped to the barest minimum, would be a desirable goal. We have had a glimpse of that future in the Chancellor’s own threats to turn Britain into a tax haven. Even to hold out this prospect is to admit that the Government have no better plan than the steady management of decline.",,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
"We would have invested from the beginning in our infrastructure and skills, so we would have grown the economy and would not have had to borrow £700 billion for failure, rather than for growth success. Because the focus of the Government was on chasing an unachievable surplus target, they did not use the borrowing wisely. The sound policy, as recommended by international organisations such as the International Monetary Fund and the OECD, and by the CBI and the TUC here in Britain, is to put the Government to work in supporting investment. Instead, over nearly seven wasted years, the Government have cut investment to the lowest level in a decade.",,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
I see that the right hon. Gentleman is ready to jump in again.,,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
"The right hon. Gentleman raises a valid point about bogus self-employment. We thought that the Chancellor might have mentioned that in his statement, but he never referred to it. That needs to be addressed, because many people are forced or manipulated into self-employment. Bogus self-employment needs to be tackled, and we have campaigned for that along with a number of organisations, including several trade unions and the Federation of Small Businesses. We saw middle and low earners hit yesterday. Someone on £20,000 will lose about £250 a year, while someone on £40,000 will lose nearly £650 a year—those are the consequences. I do not think that those people are high earners; they are middle to low earners. They should be protected, particularly at a time when, to be honest, there is frailty in the economy, with consumer spending just dipping on the latest figures. Those at the forefront of the impact of the dip in consumer spending are largely existing sole traders and small traders—the window cleaners, drivers and others—and they will be hit. The policy is wrong, and this is also the wrong time to put their careers and jobs in jeopardy. The justification for yesterday’s policy just does not stand up. The Government cannot demand more taxes from people without offering something in return. The Labour party are fully behind looking at how the labour market is changing—the right hon. Gentleman is right about that—and the shadow Secretary of State for Work and Pensions, my hon. Friend the Member for Oldham East and Saddleworth (Debbie Abrahams), spoke last year about the principles that should guide such changes. We have regularly raised the problem of bogus self-employment.",,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"At the weekend, the Chancellor told a German newspaper—not this House, you will notice, Mr Speaker—that he is prepared to turn this country into a tax haven. If that means competing with the likes of Ireland on the 12.5% corporation tax rate on top of existing Tory tax cuts it means, according to the House of Commons Library, giving away more than £100 billion to corporations over the next five. That is equivalent to almost 5p on the basic rate of income tax. How then does the Chancellor ever propose to solve the funding crisis in the NHS and social care, given that this morning the Office for Budget Responsibility thinks that public finances are on an unsustainable path?",,2017-01-17 00:00:00,John McDonnell,Leaving the EU: UK Economy
I always respect the hon. Gentleman’s interventions because he seeks to find solutions.,,2017-03-09 00:00:00,John McDonnell,Budget Resolutions
"Let us look at what is happening outside in the real world. We welcome the growth in employment, but we have also experienced the biggest fall in wages among OECD countries over the past seven to 10 years—the figure of 10.4% is matched only by Greece. One in five employees in this country were low-paid in 2015. Mark Carney has called this the biggest lost decade for income growth since the 1860s. The number of self-employed people has increased   dramatically, but on average they earn less than 20 years ago. So, yes, I welcome the growth in employment, but I do not welcome the growth in poverty pay, whether for the self-employed or those being exploited on zero-hours contracts.",,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
"What we now have in our economy is a scandal of bogus self-employment. A lot of the growth in self-employment has happened on that basis, and it includes the most exploitative aspects. The hon. Gentleman mentions inequality, so let us look at some of the figures. If we use an index other than the Gini coefficient, which does not take into account the real outstripping of the super-rich, such as the P90/P10 ratio—this looks at the 10th and 90th percentiles of income distribution—we find that inequality has risen every year over the past five years. Let us look at what has happened out there in individual companies. If we compare the average total pay of FTSE 100 chief executives with that of their employees in 2015, we find a ratio of 129:1; in the mid-1990s, it was no more than 45:1. That shows the grotesque levels of inequality that result from the economy that has been created over the past seven years. Yesterday’s Green Paper seemed to recognise the failure of previous policy, and there has certainly been a change of rhetoric. The Prime Minister has suddenly been won over by the merits of an active industrial policy. The recognition that the six previous years have failed badly is welcome, but nowhere is it clear that the Government recognise the scale of the problem. The weaknesses and inequalities in our economy stem from decades of underinvestment, when decisions about what and where to invest have been taken by too few people at the top and to the benefit of that tiny handful. That leads to an economy in which the Government are planning for more than £5,000 of investment per head in London, compared with just £413 in the north-east of England. It is an economy in which a single London capital project receives more Government backing than the whole of Yorkshire, and in which the £500 million promised yesterday for the north of England is set against £18 billion of cuts from local authority budgets since 2010.",,2017-01-24 00:00:00,John McDonnell,Charter for Budget Responsibility
