time,debate,text,date,mp
,Syria and North Korea,I strongly agree with the wisdom of that remark. It will be essential to have a political process that preserves the institutions of the Syrian state while decapitating the monster.,2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"As several hon. Members have said, in the end, the new constitution and arrangements for Syria will be a matter for the Syrian people, but there are certainly people in Syria on either side of the debate who could come together to form a new federal Government for the country and take it forward to a much brighter future.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"To the best of my knowledge, the Russian President suggested that Bashar al-Assad should find refuge in some Gulf country, which I shall not upset by naming.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I disagree very strongly with the hon. Gentleman. Of course, it is difficult. Of course the Russians have been backing Assad for many years, but this is an opportunity for them to have a new bargain in which there is a ceasefire, an end to the barrel bombs and an end to the chemical weapons—a real political solution—and in exchange they get a genuine relationship with the United States, join the rest of the world in the war against Daesh— [Interruption.]  Yes, and they have an acknowledgment that they have a way out of the quagmire of Syria and that the west will step in, once it is possible, to pay for the reconstruction of that country.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"Yes, we certainly are. An important point to make to the Russians is that, in the end, it is the Iranians who are benefiting from any progress that the Assad regime makes. It is the Iranians who are the whip-holders in that relationship. In the end, the Russians need to detach themselves from the Iranians as well as from Assad.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"Obviously, we deplore any civilian deaths in Syria, but I also deplore any false equivalence between American actions and the dropping by the Assad regime of barbaric weapons, which were banned in 1925.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,Of course.,2017-04-18 00:00:00,Boris Johnson
,Topical Questions,"We had a counter-Daesh coalition meeting last week, and the House will know that huge progress is being made. Daesh’s territory in Iraq has been reduced by about 60%, and its territory in Syria has been reduced by about 30%. The UK is at the forefront of that effort, in concert with our American allies and a coalition of 68 other countries.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"I am sure that hon. Members who wish to travel to Israel will have absolutely no difficulties, but it remains up to the Israeli immigration authorities to decide whom they choose to admit.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,Yes.,2017-03-28 00:00:00,Boris Johnson
,Topical Questions,We have the strongest and most rigorous criteria— there must be a clear risk of a serious violation of international humanitarian law—of any country in the world. That remains the position.,2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"I congratulate my hon. Friend on the spirit he is taking on this, which is very much the one the Prime Minister is going to adopt in the negotiations. I believe she will be absolutely vindicated, because I think our friends and partners on the other side of the channel understand exactly what he sets out. It will be an opportunity to get rid of some of the burdensome regulation that has accreted over the past 44 years, and I applaud the campaign that I know he supports and which has been outlined in the pages of this morning’s  The Daily Telegraph .",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"Both the Prime Minister and I have raised this issue specifically with Prime Minister Netanyahu, and we will continue to do so. We are opposed to such demolitions and, as I have said many times this morning, we continue to believe that continued illegal settlements are an obstruction to peace.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"I am pleased to inform the House that I raised the matter with my Russian counterpart, Foreign Minister Sergey Lavrov—indeed, I raised the case of the mistreatment of a 17-year-old British national.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"The backstory of terrorists is of course a subject of continual analysis, and in respect of the individual who struck last week that analysis has yet to be completed. It goes without saying that in our discussions with our Saudi counterparts we make very plain our view that the struggle against terror is a struggle we face jointly.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"As I said to the House a few weeks ago, such analogies and comparisons trivialise that epoch and the tragedies of the 1930s. We have a very different situation today and we are working with our American friends and partners to produce the best outcomes for the security, stability and prosperity of the world.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"The fundamental thing has to be a rapprochement between the two sides in Libya. We certainly believe that General Haftar has to be part of the solution, but he cannot be the whole solution. There must be a political and constitutional resolution to the crisis in Libya.",2017-03-28 00:00:00,Boris Johnson
,Topical Questions,"I believe the hon. Gentleman is referring to air strikes by the Americans—he did not spell that out. Of course, there have been innumerable barbaric air strikes by the Assad regime, the Russians and  others, as I am sure he would acknowledge. The United States has said that it is investigating and will produce a full report.",2017-03-28 00:00:00,Boris Johnson
2017-05-01 16:01:00,Syria and North Korea,"With permission, Mr Speaker, I should like to begin by paying tribute to the Britons who were killed in tragic circumstances in Stockholm and Jerusalem. Chris Bevington was among four people who died in Sweden when a truck was driven into helpless pedestrians on 7 April. Hannah Bladon was stabbed to death in Jerusalem on Good Friday in a senseless attack. Our thoughts and prayers are with their families. I wish to update the House on two of the most significant foreign policy events of the last fortnight, namely the situations in Syria and North Korea. These disparate challenges encompass one common theme. In each case, hereditary dictators presiding over cruel tyrannies have challenged the essential rules that underpin our world peace. The United States has responded with strength and resolve, and in accordance with its traditional role as the guarantor of the rules-based system. In both cases, the United States has acted with the full support of the British Government. Turning first to Syria, at 6.39 am on 4 April there was a chemical weapons attack on the town of Khan Sheikhoun in rebel-held Idlib province. The House will recall the horrifying aftermath: men, women and children convulsed in agony, some foaming at the mouth, as their bodies were poisoned by nerve gas. Rescue workers tried desperately to decontaminate the casualties. We saw children with oxygen masks clamped to their faces. Even by the standards of a civil war that has claimed more than 400,000 lives, this was among the most shocking incidents. I want to repeat for the benefit of the House exactly what we know about the attack on Khan Sheikhoun, because there has been a concerted attempt to obscure the facts. We know beyond doubt that two Sukhoi-22 aircraft took off from Shayrat airfield, where we know chemical weapons are stored. We know that they were overhead at 6.39 am when, according to all eyewitness accounts, the attack took place. We know from shell fragments in the crater that sarin had not only been used, but that it was sarin carrying the specific chemical signature of sarin used by the Assad regime. Given that samples from the victims show conclusively that they had been exposed to sarin gas, there is only one conclusion to be reached: that the Assad regime almost certainly gassed its own people, in breach of international law and the rules of war. That shows the emptiness of the agreement—reached in 2013 and guaranteed by Russia—that was supposed to rid Syria of chemical weapons once and for all, and, I am afraid, exposes the misjudgment of those who regarded that deal as a substitute for resolute action. The attack on Khan Sheikhoun is already the subject of an international inquiry by the Organisation for the Prohibition of Chemical Weapons. Thanks in large measure to UK diplomacy, the United Nations now has a joint investigative mechanism with a mandate to identify any party responsible for chemical attacks in Syria, and I trust that it will report as soon as possible. The House should bear in mind, however, that UN investigators have already found the Assad regime guilty of using poison gas on three separate occasions in 2014 and 2015. Some Members have suggested that we arraign Assad before the International Criminal Court. I must say to them that the only way of bringing Syria before the ICC would be through a referral from the Security Council, and we tried that option in 2014, only to be thwarted by the vetoes of Russia and China. Sadly, Russia’s response to the attack on Khan Sheikhoun has been to try to protect Assad yet again. On 12 April, it cast its eighth veto on behalf of Assad in the Security Council, blocking a resolution that would have demanded the regime’s co-operation with the international investigation. The day after the atrocity I spoke to Secretary of State Tillerson, and it became clear that the United States was considering a military response. In the early hours of 7 April, the US did indeed take action, firing 59 cruise missiles at the military air base from which the gas attack is believed to have been launched. We were given advance notice of the operation, but at no stage did the US Administration ask for our military help; they asked only for political support. Advance warning was given to Russian military personnel, who were co-located with the Syrian air force at the same base, to minimise the risk of casualties. The Government believe that the US action was a necessary, appropriate and justified response to an awful crime. As many as 20 Syrian military aircraft are believed to have been destroyed, and, as the House will know, Assad’s air force has been bombing civilians day after day for most of the past six years. The destruction of some of those strike aircraft will in itself save some lives, but still more important, I think, is President Trump’s emphatic message that the era during which Assad’s barbarism met with passivity and inaction has finally come to an end. America’s determined response creates an opportunity to break the deadlock and pave the way for a political settlement of Syria’s tragedy, but that will happen only if Russia is prepared to bring Assad to the negotiating table and begin a transition to a new Government who will represent the sole chance of peace in Syria. After the chemical attack and the American strike, the priority was for Secretary Tillerson to convey that message to Russia with the backing of as many countries as possible. The combined weight of the G7, and like-minded countries in the region, unanimously supported the US military action as a “carefully calibrated” response to a “war crime”, and mandated Tillerson to go to Russia and urge the Russians to “promote a real and genuine political process in Syria”. I want to stress that we in the UK have no intention of dislodging Russian interests in Syria; on the contrary, we recognise Russia’s long connection with that country and the national interests at stake. But Russia’s position in Syria does not depend on Assad. The unmistakable lesson of six years of bloodshed is that Assad cannot deliver what his people—and the wider world—so desperately need, namely, a peaceful and united Syria. Therefore, I hope I have the support of everyone in this House when I call on the Russians to end their blind support for Assad, stop the gas attacks and the barrel bombs, allow the delivery of aid to those who need it, deliver a real ceasefire and begin the political process that will include a transition away from Assad. That was the message that Secretary Tillerson conveyed to Putin and to Sergei Lavrov on 12 April. We will do our utmost in the UK to hold accountable anyone found responsible for that gas attack, and we will work   with our American counterparts to create the conditions for Russia to work with us and to escape its entanglement with the toxic Assad regime, which poisons Russia’s international reputation just as surely as it poisons its own people. I turn now to North Korea. Last weekend’s events provided further proof of the threat that that country poses to international peace and security. On Saturday, North Korea paraded an arsenal of ballistic missiles in front of carefully regimented crowds. Only 24 hours later, the regime tested another missile, although this time the launch failed. Last year alone, North Korea tested two nuclear bombs and 24 missiles. I remind Members that all those tests break a series of UN resolutions dating back to 2006, when resolution 1695 was passed unanimously by the Security Council, yet on Monday the Pyongyang regime threatened further missile tests on a “weekly, monthly and yearly basis”. The regime is now developing intercontinental ballistic missiles, which would be capable of delivering a nuclear strike on the mainland United States. These weapons have not yet been fully tested, but no one can be complacent about the potential threat they pose. Yesterday, I spoke to my Chinese counterpart, Wang Yi, and I urged him to use Beijing’s unique influence to restrain North Korea and to allow a peaceful resolution of this crisis. By suspending its coal imports from North Korea, China has given a welcome signal of its willingness to exert pressure on the regime. Later this month, I shall attend a special meeting of the Security Council on North Korea. All hopes for progress rest on international co-operation —especially between China and the US—and the verifiable disarmament of North Korea’s nuclear weapons and ballistic missiles. The crises in Syria and North Korea represent a challenge to the law-based liberal international order in which this country believes. Britain’s role is to stand alongside the United States and our allies as we confront those threats. In that effort, we will not tire. I commend this statement to the House.",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I am obviously disappointed that the shadow Foreign Secretary should choose to intrude into this very important consideration relatively separate issues of domestic political policy: we are trying to explain the position of the UK, and indeed the west, towards the Assad regime. And, by the way, we are having a televised debate now in case she had not noticed, and we should continue in that way. To answer the right hon. Lady’s serious point, we are engaged in trying to use the opportunity provided by American action to drive forward the political process. It is not easy, and I think in all honesty that she should reflect on her approach, because what we are trying to do requires a great degree of cross-party support. We want the Russians to face up to the real option before them. If they continue to back Assad, they will be backing a regime that—I hope Members heard what I said about the use of chemical weapons—has been proved beyond a shadow of doubt to have used chemical weapons that are banned under international law. I would like the Russians to accept that there is a deal. That could be that they have an improvement in their relations with the Americans, and work together with the rest of us to tackle the scourge of Daesh. In return, the Russians need to understand that they need to make a serious commitment to a political process. At the moment, they are not doing that. They need to make a proper commitment to a ceasefire, and at the moment they are not making that commitment. They need to stop their client using chemical weapons. They said that they would do that in 2013. Rather than simply parroting the lines of the Kremlin, the right hon. Lady should support the collective action of the west, not just the G7 but the like-minded countries—",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"The right hon. Lady has said, for instance, that the west is divided in its attitude towards sanctions. Let us be absolutely clear that all we are trying to do is to follow where the evidential trail leads— [ Interruption. ]  If the OPCW finds that members of the Syrian armed forces have been responsible for that attack, I hope she will agree that they should face sanctions. If she were to oppose that, I would find it absolutely extraordinary. The United States has moved to impose sanctions on a further 300 people, and there has been a large measure of support from all western countries for doing exactly that. Furthermore, it seems unclear from the right hon. Lady’s account whether she supports the American action at all. I wonder whether she could enlighten the House as to whether she is in favour of what the Americans did. For the first time in five years, the Trump White House has shown that the west is not prepared to sit by and watch while people are gassed with weapons that should have been banned—",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I am grateful, Mr Speaker. It was far from clear to me, in listening to the right hon. Lady’s response, whether she actually supports what the United States has done. I would like some elucidation on that. As I have said, for the first time in five years, that action has shown that the west is willing to stand up to the use of these vile weapons. This has   given us a political opportunity that we have hitherto not had, and I think that her best bet would be to support this Government and the efforts of western countries in trying to drive that forward and get the Russians to deliver a genuine political solution— [ Interruption. ]",2017-04-18 00:00:00,Boris Johnson
,Syria and North Korea,"I am grateful to my right hon. Friend for his question. That is exactly what we are engaged in doing. I do not pretend to the House that it will be easy. We have been here before; we have seen the whole Kerry-Lavrov rigmarole that went on for months and months. However, this is an opportunity for Russia to recognise that it is supporting a regime that deserves the odium of the entire world. That is costing Russia friends and support around the world, but it now has a chance to go for a different approach and that is what we are collectively urging it to do.",2017-04-18 00:00:00,Boris Johnson
,Israeli Settlement Goods,"I do not believe that my right hon. Friend has said anything of the kind or called for any such boycott, and nor do I believe for a second that he would be interrupted if he chose to go to Israel. I must stress that the policy of the Government is unchanged. We remain opposed to illegal settlements and we believe that they are an obstacle to peace. I have said that many times already in this House, but I am happy to repeat it to the hon. Lady.",2017-03-28 00:00:00,Boris Johnson
,Israeli Settlement Goods,We certainly shall.,2017-03-28 00:00:00,Boris Johnson
,Israeli Settlement Goods,"With great respect to the right hon. Gentleman, I have made very clear what I thought was the profound absurdity of denouncing Israeli conduct in that region at a time when we are seeing absolute barbarism conducted by the Assad regime against the people of Syria.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"I had a series of excellent meetings last week at the White House, the State Department and elsewhere with Secretary of State Tillerson, Vice-President Pence and others. We discussed areas of common interest and shared objectives on Syria, Russia, NATO, global free trade and other questions.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,This is a long-standing extraordinary relationship that goes from strength to strength. Hon. Members may know that last year exports to the United States rose by 20%. It is the absolute determination of the new US Administration to do a free trade deal that will take those trade figures even further forward.,2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"I passionately agree with that. It is the function of the UK to be the intermediary between our European friends and partners and the United States, and to campaign for the things that matter deeply to us all: the transatlantic defence alliance that has kept the peace in our continent for the past 70 years, and, of course, global free trade, which is of huge value to all  of us.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"It is not for me to intrude into the domestic politics of the United States, except to say that I think many people around the world who criticise and attack the United States and who are viscerally anti-American in their attitudes will look at the balance of   power represented by that decision and see that this  is a mature democratic system in which we can confide our trust.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"The damage done by such remarks can be likened to that of a gnat against a rhinoceros or an elephant. They will not make any difference to a fundamental relationship that is, as I say, of great international importance. As for the assertion that there was some sort of collusion by GCHQ to bug the presidential candidate, I think that has been accurately described as absurd and ridiculous.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"I must respectfully disagree with my hon. Friend’s characterisation of the episode. I believe that it has done no lasting damage to our relationship, and certainly not to the special relationship or to intelligence sharing, which will of course carry on between our countries. As I say, that relationship is of huge value to the security of the west. As for the allegations themselves, let me repeat that they are utterly ridiculous and should be ignored.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"The right hon. Lady will know that the UK Government have played a leading role in securing the Paris agreement on climate change. The United States remains a supporter of that. In the course of my conversations with the US Secretary of State on that issue, I received some encouragement—I do not want to exaggerate the outcome of the conversations—that as in so many other dossiers, the US is moving from the position we saw during the campaign, when some remarks came across as being perhaps out of line with UK   Government thinking, into a position that is much more closely aligned with our thinking, even on climate change.",2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,I did raise it.,2017-03-28 00:00:00,Boris Johnson
,Anglo-American Relations,"With great respect, I must say that I think the right hon. Lady is again being far too pessimistic. We were told by the US presidential candidate that NATO was obsolete; we now hear that he is 100% behind NATO. We were told that the JCPOA, the joint comprehensive plan of action on Iran, was going to be junked; it is now pretty clear that America supports it. We were told that there was going to be a great love-in between the new US Administration and Russia; they are now very much more in line. As for climate change, I think the right hon. Lady is once again being too pessimistic. Let us wait and see. We have heard the mutterings of the right hon. Lady; let us see what the American Administration actually do. I think she will be pleasantly surprised, as she has been, if she were remotely intellectually honest, in all other respects.",2017-03-28 00:00:00,Boris Johnson
,Eastern Ukraine,"The causes of the conflict in Ukraine lie very much with the Russians, who bear the overwhelming responsibility for the considerable loss of life there. I was pleased to be able to raise the matter with my Polish counterpart, Witold Waszczykowski, during a visit to Kiev a few weeks ago. What is crucial to progress in Ukraine is not just for the Russians to   desist from supporting military activity in Donbass and pull out of Crimea, but for the Ukrainians themselves to make the reforms that will increase international confidence in Ukraine.",2017-03-28 00:00:00,Boris Johnson
,Eastern Ukraine,"I am grateful for that suggestion. This country already leads the way in imposing sanctions on the Russians for their actions in Ukraine, and we continue to insist on those.",2017-03-28 00:00:00,Boris Johnson
,Eastern Ukraine,"The hon. Gentleman will know that there is to be a White Paper very soon, presaging a Bill on how we will continue to take part in sanctions jointly with our friends and partners across the channel.",2017-03-28 00:00:00,Boris Johnson
,Executive Orders: United States,"We have been clear that the Government do not agree, as I have said previously to the House, with the recent changes to US immigration policy, and that that is not the approach the UK would take.",2017-03-28 00:00:00,Boris Johnson
,Budget Resolutions,I think I have already given way to the hon. Gentleman.  [Interruption.]  I am sorry; I have not. Go on.,2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"One would have thought that they would learn. One would have thought that the merchants of this kind of thing would have understood that there is no point in continually standing up and running our country down when, in fact, we are back up at number five. We have seen record investment in the United Kingdom, and we continue to see that the fundamentals of the British economy are strong and getting stronger.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"I will in 10 seconds. One of the reasons for that is the active role that we play in protecting and insisting on the rules-based international order. And with that, I give way to my hon. Friend.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"My hon. Friend speaks with great wisdom and authority. I know that the Foreign Affairs Committee, which he chairs, has made some useful recommendations on how we can maximise our overseas spending, and co-ordinate it so that it helps to deliver not only our security but our economic objectives. I totally accept that point. In the pursuit of the system that we want to see, our diplomats and intelligence officers and our serving men and women, backed up by the Department for International   Development, are striving every day to preserve the essentials of the rule-based order, thereby helping to protect jobs and the safety of our constituents here in the United Kingdom.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"Let me just conclude my thought about trade. Back in 1990, about 37% of our fellow human beings world wide lived in absolute poverty. Today, that figure has fallen to less than 10%, which is all the more remarkable when we consider that the world population has risen by 1.8 billion in the interim. That dramatic fall in poverty, unparalleled in history, coincided with the biggest expansion of free trade and open markets that the world has ever seen. Conservative Members believe in that policy implicitly.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,I think that the right hon. Member for Knowsley (Mr Howarth) will agree with me when I say that the rules-based international order which we uphold in global Britain is an overwhelming benefit for the world as a whole.,2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"With great trepidation, I must correct the right hon. Gentleman. We travelled abroad together and both spoke the same sort of language at the time. Alas, the hon. Member for Ilford South (Mike Gapes) revealed the profoundest misunderstanding—let me put it no higher than that—of the exact state of the British Council’s finances. That was regrettable and worth correcting. Thanks to my right hon. Friend the Chancellor, we are able to continue to support an active global Britain through the Budget, but there is of course much more to be done. Once we leave the EU, the Government will—we will all—regain a power that this country has not been able to deploy for 44 years, and that is the ability to conclude free trade agreements. The first and most important of those deals will be with our friends and partners in the EU. As the Prime Minister has repeatedly said, we are leaving the EU but we are not leaving Europe. To those who seriously doubt that we can pull it off in the next two years, let me remind them of the most essential point—that deal is profoundly in the interests of our friends and partners on the other side of the channel, who have a massive net balance of trade with us. They are optimistic. They are determined. I sometimes wish that we could have a little more of the same spirit from the Labour party.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,Perhaps the hon. Gentleman will now say that he is abandoning his gloomadon-popping and that he is going to come up with something supportive of the British negotiating position.,2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"I must respectfully say to the hon. Gentleman that, again, he is being too pessimistic. If we look at the UK’s trade with the rest of the EU over the past 20 years, regrettably we see that it has been declining as a proportion of our exports. I would like to see it increasing again—why not?—but I would also like to see my right hon. Friend the Secretary of State for International Trade, who I am delighted to see sitting next to me, doing those free trade deals around the world. As the House will know, there is massive excitement and enthusiasm among our global partners to do just that. There is literally a queue of countries that want to do significant and substantial free trade deals.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"Madam Deputy Speaker, thank you. If I may, I will remind the hon. Lady of my optimism. I urge Labour Members to contain their pessimism. They asked me to name the countries that wish to do free trade deals. There are dozens. They have heard what the United States of America wants to do and that will be hugely in the interests of every part of this country. Right hon. and hon. Members may not know this, but at the moment the United States still has an embargo not only on British beef but on Scottish haggis. I do not know whether members of the Scottish parties agree with that, but there is no way of liberating the haggis to travel across the Atlantic again unless we do a free trade deal with the United States.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"What I certainly believe is that a free trade deal with the United States and free trade deals for this country would be of profound benefit to the whole of the United Kingdom. Since the hon. Gentleman has interrupted me, let me remind him that today is Commonwealth day, which provides an opportunity for us all to celebrate that remarkable institution which embraces one third of humanity and now includes some of the fastest-growing economies in the world—a free association of 52 countries, spread across every continent and dedicated to advancing the values that we share. I am proud to say that Britain will host the Commonwealth Heads of Government summit next year. Although we may not be able to sign free trade deals with our Commonwealth friends now, we can see them in outline and taking shape. Let me say this to our friends from the Scottish nationalist party, who seem so determined to wrench themselves out of the UK, even though they had a decisive referendum on the matter, as Members will recall, only a couple of years ago: never mind haggis; Scotch whisky exports to the Indian whisky market, a potentially huge market—the Indian thirst for whisky is colossal—account for only 4% of Indian whisky consumption. That is because at the moment, without a free trade deal, the Indian Government impose a 150% tariff on Scotch whisky. Imagine a free trade deal that lifted the exports of Scotch to India by only a few per cent.—to, say, 6% or 10%. Dare to dream that Scotch whisky, which everyone in the House would concede is the original and authentic whisky, were slaking just 15% of that gigantic Indian thirst for whisky. We would be talking about an increase in profits for the Scotch whisky industry, for this country and, above all, for Scotland every year running into hundreds of millions of pounds. That means jobs, growth and investment for Scotland. It means the prosperity that comes with having a truly global outlook, which unfortunately Members on the Opposition Benches signally seem to lack.",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"Let me make some progress. In that global marketplace, this Budget will allow young Britons to compete with the best by investing in the talents and skills of the rising generation—more than a hundred new free schools provided for; a thousand more PhD places specifically for science, technology, engineering and mathematics; and another £270 million for biotech, robotics and electric vehicles. There will be another £16 million for 5G mobile technology. That is building on and fostering a global reputation for innovation. Last year, we were ranked the third most innovative country in the world. We were one place above America, 7 places ahead of Germany, 15 higher than France, and fully 21 places above China. That is the measure of the extraordinary intellectual fecundity of this country. Cambridge University alone has produced more Nobel laureates than every university in Russia and China added together and multiplied by two. When those breakthroughs take place, when that spark of innovation takes place, we foster it, we encourage it and we give business every possible incentive to turn those brilliant ideas into world-beating products. From next month, my right hon. Friend the Chancellor will cut corporation tax to 19%, and it will be 17% by 2020—the lowest of any G20 economy. And it is by creating the right business environment—by investing in infrastructure, skills, housing and technology—that we are not only building a platform for sustainable growth but creating a launch pad for the most extraordinary exports. As I never tire of telling my friends, we export tea to China and cake—chocolate cake—to France; we export bicycles, I am proud to say, made in London to Holland; we export TV aerials to South Korea, and boomerangs to Australia, I believe; I think we have at least once in the past exported sand to Saudi Arabia; and Nigel Farage to America, I am delighted to say. On Friday—",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"On Friday— [Interruption.]  Opposition Members mock, and they may mock the entrepreneurial spirit and the exporting drive and originality of this country —[Interruption. ] —but let me tell them that on Friday—",2017-03-13 00:00:00,Boris Johnson
,Budget Resolutions,"I will conclude with these thoughts. Last Friday, I was in my constituency of Uxbridge and South Ruislip, and I am proud to say that I visited a business on a backstreet in Uxbridge that has more or less cornered the market in manufacturing the fancy display cabinets used to sell delicacies such as Toblerone in every airport in Saudi Arabia, and it is expanding. Thanks to the ingenuity and enterprise of that business, if we go to a Saudi Arabian airport and buy a Toblerone, we will buy it over a counter made in Uxbridge. Given the ingenuity that this nation is showing, I believe—",2017-03-13 00:00:00,Boris Johnson
