date,text,mp,time,debate
2017-02-09 00:00:00,"No, we did not suggest numbers to the councils. We set out for them what the challenges were and what our payments were—those had been increased by 20% on one scale and 28% on another, so under-16s were to get £41,000 of support a year and over-16s were to get £33,000. We urged councils, we worked with them and we did presentations all around the country, and the councils came back to us with this proposed number. I repeat that accepting the children is one thing; having the capacity—and, indeed, the confidence—to look after them is what we urge local authorities to think about. I would like to give particular thanks to the Scottish authorities that did so much to accept vulnerable young women, in particular, who were moved from Calais. They are now making their life in Scotland, and we are very grateful for that.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"The UK position on aiding refugees from the region, which I think is what the hon. Gentleman is asking me about, is very strong. It is added to by the fact that we have one of the largest aid donation plans in the world, with our 0.7% commitment and the £2.3 billion that goes into the region. The hon. Gentleman should join me in being proud of the commitment and support, including financial support, that we give to the region to make sure we do look after vulnerable people.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I wonder how the hon. Lady would feel about the children who are in the camps in the region. They are not in France or Italy; they are the ones in the camps where the conditions are much, much worse. How would she feel about looking them in the eye?",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"The hon. Lady is chuntering, but we are doing what we believe is best. I recognise that the hon. Member for Gedling (Vernon Coaker) has a different position, but I ask him to reconsider his language.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,I can reassure the hon. Gentleman that my Department meets regularly with children’s charities and Lord Dubs.,Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"It is disappointing that the hon. Gentleman clearly has not heard a word of what I have been saying about the efforts that the UK is going to, the generosity of local authorities, and the commitment from the international aid budget. Those are all strong pieces of evidence to show that this country and this Government are stepping up to their responsibilities.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I respect the hon. Lady’s views, but they are different from the one we take. That is not because of a lack of compassion, though; it is basically about trying to work out what is best for those children. She has failed to acknowledge the point that several Members have made, and that I have made as well: if we continue to take numbers of children from European countries, particularly France, that will act as a magnet for the traffickers. I wonder whether she has come across traffickers, or children who have been trafficked. It is a terrible crime and such danger is done to lives. It is imperative that we take action here to protect those children and stop that crime. Part of our process, by focusing on the most vulnerable from the region, tries to do exactly that.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"That is a very good question. We have been working closely with local authorities. People in my Department have made presentations across the country, and more than 400 people have attended them. We are helping local authorities to step up by ensuring that they have sufficient support each year for the young people. I hope that they see this as the right thing to do when we are experiencing so many problems from the region and refugees arriving here. We are working with local authorities on a persuasion basis and urging them to participate. The sign is that more of them are stepping up.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"Under the Immigration Act 2016, we were required, by a date that is fast approaching, to name a number after having consulted with local councils. We have now done that. At some point, the scheme will close, but it is not closed yet, because we still need to transfer 150 under the amendment.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"We always welcome initiatives from local councils to ensure that we look after the refugees and children who come over here. I urge any local authorities that think they can do more to get in touch with the national transfer scheme, which will support the councils that are, sometimes, having to accommodate too many children in their area and long for additional support.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"My hon. Friend makes a helpful point. We want to make sure that the refugees who arrive here—children, families and adults—are looked after in the best tradition of the UK. I am delighted to hear of his personal involvement. I have heard fantastic stories about local churches and local charities stepping up and ensuring that these frightened families are really well looked after. We sometimes see the real best of British values.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"The French have transferred the young people—indeed, all the people—from the Calais camp to centres, where they were given beds and food, so that    their applications for asylum could be considered. The hon. Lady is right that some camps are now beginning to form in northern France. I am in constant touch with my French counterparts, and we are helping them with money, support and advice to ensure that another camp like that does not emerge. The French are committed, and they have a responsibility to allow the people there to apply for asylum in France, which is where that should happen. We will continue to monitor where we can help and act on the Dublin arrangements.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I thank my hon. Friend for those comments. It is disappointing when people do not recognise that the Government and the Opposition both share the ambition of compassion, but have a different strategy for delivering it.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"No, I do not agree with the hon. Gentleman. We have communicated our plan to the French and to other European countries, and we have discussed with them what is best for these children. Like so many other hon. Members, he fails to listen to my points about how these children are made vulnerable and what is in their best interest. I respectfully ask him to reconsider his very high moral tone. Although he might not agree with it, we are doing what we believe is best for those children.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I reassure my hon. Friend that I work closely with my European counterparts, particularly in France, because many young people arrive in the camps in northern France and create an environment that is so difficult for themselves and for the local authorities. Yes, I will always work closely, particularly with the French, to ensure that our plans work with theirs.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I thank the hon. Lady for her recommendation. I have a substantial ministerial team and an excellent Minister for Immigration. I do not see the need at the moment for additional Ministers, but of course I will keep that under review.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I am proud that my constituency of Hastings and Rye does welcome asylum seekers. The hon. Gentleman is of course right that we want more constituencies to welcome asylum seekers. Indeed, under the national transfer scheme, which allows some councils to help other councils where a lot of these children arrive, we are encouraging local authorities to step forward, on a voluntary basis, to spread the support around. The fact is that, at one point, Kent had to look after more than 1,000 children who had arrived unaccompanied. We must do more to spread that out, and I urge right hon. and hon. Members to speak to their local authorities about taking advantage of the scheme.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"My hon. Friend makes a very good point. The fact is that we are so fortunate that Kent does step up, because it so often takes the brunt and has to take the largest number of unaccompanied children. We need other councils to engage with the national transfer scheme so that we can spread that responsibility around. My hon. Friend also makes a good point about the need not to feel that it is “job done” when we take the children in. We need to have care, time, money and professional support to look after these refugees, because they are children, they are here, and we will make sure they are looked after.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"People will use their own language, but it seems clear to me that the most vulnerable place where there are children we can help is the region itself.   We have agreed to take 3,000 of those children by 2020, and we will absolutely be sticking to that. About half of the 20,000 that are coming from Syria by 2020 will be children, and we will continue to move the children we can to take them under the Dublin arrangements.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"My hon. Friend is of course right about British charities. The British Government are the second-largest bilateral donor in the region, and we are proud of that. We work closely to make sure that part of the support that we give goes towards helping children and helping to educate them so that we do not have a generation who grow up without any schooling. We are very focused on making sure that we support the people and the children in the region, as well as fulfilling our obligations under refugee arrangements.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"My hon. Friend is right that part of the proposal was to make sure that local authorities can support these children. We need to ensure that when the children arrive, it is not a feeling of “job done,” and that they are supported over the few years, however young or old they are, to make sure they have a good life here. We consulted with councils, and they came up with the   number 400. I remind the House that that is not the total number that councils take in; we have an average of 3,000 unaccompanied minors arriving in addition to that, which councils generously step forward and support. My hon. Friend is right: we should all thank them very much for the work they do.",Amber Rudd,,Unaccompanied Child Refugees
2017-01-23 00:00:00,"I thank the right hon. Lady for giving me this opportunity to join her in thanking the Holocaust Memorial Day Trust and the Holocaust Educational Trust for the extraordinary work that they do in reminding us all of what took place. I am one of the MPs—I am sure that there are many here—who took the opportunity to visit, and I will always remember the impact of that. I work closely with the Community Security Trust, and I made the hate crime action plan my priority. We will continue to work with the trust to ensure that we do what we can to stop any form of anti-Semitism.",Amber Rudd,,Topical Questions
2017-02-09 00:00:00,"My hon. Friend is absolutely right. The UK has stepped forward financially and with support for refugees. We will take 20,000 by 2020, about half of whom will be children. He, the House and the country can be proud of the UK’s commitment to helping refugees and the most vulnerable.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"The right hon. Gentleman raises an important point about the Dublin arrangements. Until we had an accelerated process and really leant in to identify children who qualified under the Dublin arrangements into Calais, it was not really working. The numbers of children being transferred under Dublin previously were small. We managed to transfer nearly 600 under Dublin last year, and I now feel that the Home Office and associated organisations that help us to deliver on Dublin have learnt how to make sure that it operates better in the future. I am confident that those numbers will improve going forward.",Amber Rudd,,Unaccompanied Child Refugees
2017-01-23 00:00:00,"I thank the hon. Gentleman for this opportunity to do exactly that. We are very lucky to have the good work, bravery and courage of the PSNI, and I will, on his behalf and that of the whole House, pass on those good wishes and thanks.",Amber Rudd,,Topical Questions
2017-01-23 00:00:00,"I thank the hon. Gentleman for his question. I spoke to my new French counterpart just this morning about the actions that we are taking together to ensure that the correct assessment of the children who would like to come to the UK continues. A substantial number of centres are still open, and we still have a number of staff out there. We will be reducing our work there, as the Calais camp has largely dispersed, but we will continue to have an interest and ensure that we work closely with the French to stop a new camp coming up.",Amber Rudd,,Topical Questions
2017-02-09 00:00:00,"My hon. Friend raises such an important point. He is absolutely right that we will always make sure that we combat human trafficking and the misery and abuse that go with it. I work closely with my European counterparts to make sure that we share information. Our National Crime Agency carefully tracks serious organised crime groups, and Europol works with us and other European partners to make sure that we work across Europe to guard against the terrible damage done by these people.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"We are not saying that we are closing the door and pulling up the drawbridge. I urge the right hon. Gentleman and hon. Members on both sides of the House not to fall into the trap of suggesting that we are not a country that welcomes refugees. We are stepping up to our obligations and supporting the most vulnerable with money and refugee programmes. I do not recognise the comparison he is making, and I hope that other Members share my position.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"The Government take the welfare of unaccompanied asylum-seeking children extremely seriously. That is why we have pledged more than £2.3 billion in aid in response to the Syria conflict—our largest ever humanitarian response to a single crisis. The United Kingdom has contributed significantly to the hosting, supporting and protection of the most vulnerable children affected by the migration crisis. In the year ending September 2016, we granted asylum or another form of leave to more than 8,000 children. About 50% of the 4,400 individuals who have been resettled through the Syrian vulnerable persons resettlement scheme so far are children. Within Europe, in 2016, we transferred more than 900 unaccompanied asylum-seeking children to the UK, including more than 750 from France as part of the UK’s support for the Calais camp clearance. As Home Secretary, I am proud that the UK played such a key role in helping the French to close the camp safely and compassionately. Yesterday the Government announced that, in accordance with section 67 of the Immigration Act 2016, we would transfer the specified number of 350 children who reasonably meet the intention and spirit behind the provision. That number includes more than 200 children who have already been transferred from France under section 67. I must make it absolutely clear that the scheme is not closed. As required by the legislation, we consulted local authorities on their capacity to care for unaccompanied asylum-seeking children before arriving at the number. We are grateful for the way in which local authorities have stepped up to provide places for those arriving, and we will continue to work closely to address capacity needs. The Government have always been clear that we do not want to incentivise perilous journeys to Europe, particularly by the most vulnerable children. That is why children must have arrived in Europe before 20 March 2016 to be eligible under section 67 of the Immigration Act. The section 67 obligation was accepted on the basis that the measure would not act as a pull factor for children to travel to Europe and that it would be based on local authority capacity. The Government have a clear strategy and we believe this is the right approach. Here in the UK, we have launched the national transfer scheme and we have also significantly increased funding for local authorities caring for unaccompanied asylum- seeking children by between 20% and 28%. The Government have taken significant steps to improve an already comprehensive approach and we are providing protection to thousands of children in this year. I am proud of this Government’s active approach to helping and sheltering the most vulnerable, and that is a position that will continue.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I have listened carefully to the right hon. Lady’s questions and I will try to address them all. I repeat that the Dubs amendment that is in place is not closed. We have done what we were obliged to do, and we have correctly put a number on it. The right hon. Lady implies that this is a business of accepting the children and that it is all about numbers; I respectfully say to her that these are children who need looking after over a period. When we accept them here, it is not job done; it is about making sure that we work with local authorities and that we have the right safeguarding in place. That is why we engage with local authorities—why we make sure they have sufficient funds, which we have increased, to look after those young people. I completely reject the right hon. Lady’s attack. The UK has a strong reputation in Europe and internationally for looking after the most vulnerable. That will continue. We have a different approach to where the most vulnerable are. We believe that they are in the region, and that is why we have made a pledge to accept 3,000 children from the region. We are committed to delivering on that. They are the most vulnerable. I am clear, through working with my French counterparts, that they do not want us to continue to accept children under the Dubs amendment indefinitely. They specify that that acts as a draw, and I agree with them— [ Interruption. ]  It acts as a pull. It encourages the people traffickers. I know that the right hon. Lady does not want that, and I ask her to think very carefully about the approach that she prefers.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I share one thing with the hon. Lady: it is the children who matter most. We have a disgraceful situation on the borders of Europe, with so many people being trafficked through to Italy and, in the past, to Greece to meet their desire to come to Europe. Too often, they find themselves in the hands of the people traffickers. It is because we care in this way that we have put together our plan to take the refugees from the most vulnerable places. She says she doubts that the children in France are being looked after, but I can tell her that   the children who are most vulnerable are the ones in the camps in Jordan and Lebanon. They are the ones who are really vulnerable, and they are the ones we are determined to bring over here, to give them the benefit of safety in the UK. I would also say to the hon. Lady that I do speak to my European counterparts about the best way to help the refugees who are now coming to Europe in such numbers. The French are very clear that they are processing the children who have come out of the Calais camp, and they want to continue to do that, but one of the things that stops the children operating with the French authorities is the hope of being taken into the Dubs scheme and coming to the UK. The authorities are clear with us that if they are to manage those children and do the best thing for them—which is what I want and, I think, what the hon. Lady wants—making it clear that the scheme is not going to be open indefinitely will provide the best outcome for them.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I thank my hon. Friend for his question. We are always grateful for the work that local authorities do. We must not underestimate the difficulties involved, particularly in taking children who have been through war zones. We work with them to ensure that they deliver the extra work and care that those children need. He is also right to suggest that we must ensure that the children in the UK are always looked after.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,"I ask the hon. Lady to consider why the children are going back to the camps rather than staying in the centres the French have taken them to in order to process them. Perhaps it is because they think that they will be able to move to the UK. Does that help them? It does not. What will help those children is if they have their claims processed in France, rather than going back to Calais and the mud. I am sure that she would not want that, just as I do not.",Amber Rudd,,Unaccompanied Child Refugees
2017-01-23 00:00:00,"I thank my hon. Friend for raising this important matter, particularly during Holocaust Memorial Week. As he will know, the Government published a hate crime action plan to drive forward action to tackle all forms of hate crime, and to enable Departments   across the Government to work with police and communities. However, I completely agree with him that all organisations, including universities and political parties, have an obligation to stamp out anti-Semitism wherever it is encountered.",Amber Rudd,,Topical Questions
2017-01-23 00:00:00,"I share my hon. Friend’s commitment to ensuring that so-called honour-based violence is not neglected. The Government will not shy away from tackling any type of violence against women and girls, and I am certainly happy to work with her on this important matter.",Amber Rudd,,Domestic Abuse
2017-02-09 00:00:00,"I know that my hon. Friend cares a lot about this issue, just as I and this Government do. That is why we have made substantial commitments to help children from the region and to help 20,000 Syrians to come over here. I can say that we are transferring 100 people under the Syrian scheme just today. We will continue to step up and show the world that the UK is doing the right thing by helping these families and children. I disagree with my hon. Friend and some Opposition Members on one thing. At the time of the amendment, it was made perfectly clear that a number needed to be set and that a number would be set. We have stuck to the letter and spirit of the amendment.",Amber Rudd,,Unaccompanied Child Refugees
2017-01-23 00:00:00,"The hon. Lady has raised an important part of our immigration policy, whose purpose is to ensure that we keep all countries to which we are returning people under review. Quite rightly, Home Office staff will visit appropriate countries—and, indeed, they visited Eritrea in 2014—to make their country assessments. I am confident that Home Office processes are delivered in the correct way, but the hon. Lady can rest assured that we will always keep the position under review.",Amber Rudd,,Topical Questions
2017-02-09 00:00:00,"My hon. Friend makes a very good point. It is not the same. Perhaps the one comparison one might make is the condition, sometimes, of the camps out in the region, some of which are in a terrible situation. We should put all our effort there to make sure that we take the children that we can from that most vulnerable area.",Amber Rudd,,Unaccompanied Child Refugees
2017-02-09 00:00:00,I can tell the hon. Gentleman that we have staff in the region who are looking to see which children might qualify under the Dubs amendment and which children might qualify under the Dublin regulations. We are actively looking to make sure that we do assist the children in Greece and Italy that we can.,Amber Rudd,,Unaccompanied Child Refugees
2017-01-23 00:00:00,"We are determined to protect children and vulnerable people. That is why today the Government have tabled an important amendment to the Digital Economy Bill. The amendment will give the police the power to go to the courts to compel phone companies to shut down phone lines being used by county lines gangs to sell illegal drugs. These gangs use children and vulnerable people to move drugs and money to and from the urban area. Once caught up in county lines, people are at risk of extreme violence, trafficking and exploitation by those behind this despicable crime. Closing the phone lines will seriously disrupt this criminality and the exploitation that is an integral part of county lines drug dealing.",Amber Rudd,,Topical Questions
2017-01-23 00:00:00,"I share the hon. Lady’s view about the importance of overseas students, particularly perhaps at the University of Bradford. Some universities have seen an increase, some have seen a decrease; we have seen more students coming over from China, fewer from India. This is the market on the move, and I urge the hon. Lady perhaps to work with her university and to come back to us with any suggestions she might have to try to improve the outcome for it.",Amber Rudd,,Topical Questions
2017-01-23 00:00:00,"I am afraid I do not share the hon. Gentleman’s views about the outcome of the referendum. The fact is we have an immigration policy that works for the whole of the United Kingdom, and that is the one we will continue to support. As I said to the hon. Member for East Dunbartonshire (John Nicolson), I urge the SNP to apply itself to making Scotland an attractive place for immigrants to go to.",Amber Rudd,,Immigration Rules
2017-02-09 00:00:00,"My hon. Friend has substantial experience in this area having worked so hard on the issue of human trafficking. I note his point about this being a dilemma. It is not always clear what the right strategy is, but I ask Opposition Members to recognise that we are a taking a different approach. It is honest and compassionate—they do not have a monopoly on that—and we can deliver the best. I urge them to support us in that aim.",Amber Rudd,,Unaccompanied Child Refugees
