debate,time,date,text,mp
Yazidi Captives: Daesh,,2017-03-28 00:00:00,"May I pay tribute to the Minister for his extraordinary courage last Wednesday? As PC Palmer’s family said this weekend to the Minister and to others who rushed to help: “There was nothing more you could have done. You did your best and we are just grateful he was not alone.” Yazidi women, including girls as young as nine, have been raped, kidnapped and sold into slavery by Daesh terrorists. If proper mechanisms are not established to investigate these crimes, crucial evidence and witnesses will be lost and the victims will never have their day in court. What are the Government doing to prevent that, and will the Minister tell us how he is ensuring that the perpetrators of these heinous crimes will be brought to justice as quickly as possible?",Emily Thornberry
Anglo-American Relations,,2017-03-28 00:00:00,"Let me welcome the Secretary of State back from his trip to Washington. More than ever, it is vital that Britain uses, in his words, our “extraordinary relationship” to ensure that America makes the right decisions on the world stage. The Secretary of State has consistently told us that we should optimistic about the outcome. Indeed, two days ago, he told us: “They have an agenda very close to ours. The U.S. is back.” With that in mind, will he tell us specifically what impact he believes today’s presidential energy independence Executive order will have on the Paris climate change agreement? During his trip to Washington, what representations did he make about that Executive order?",Emily Thornberry
Occupied Palestinian Territories: Israeli Settlements,2017-05-01 15:24:00,2017-02-09 00:00:00,"May I thank Members on both sides of the House for securing this debate? People watching us from the Public Gallery will see the House at its best when it comes to such debates. Many Members were very well informed indeed. I was expecting excellent speeches from my hon. Friend the Member for Birmingham, Northfield (Richard Burden) and from the hon. Member for Reigate (Crispin Blunt), but if I could pick one favourite speech it would be that of the hon. Member for Twickenham (Dr Mathias) who spoke passionately, articulately and without notes, and I commend her for that. It may be that other people watching the debate will have other favourites, but her speech was excellent. In the time that I have available, I will not try to summarise all the contributions. The carefully drafted motion represents a consensus shared across the House. I know that there are many differences, and we have heard them today, but, actually, what unites us is so much more than that which divides us on this. It is important that we speak clearly and loudly about settlements. Clearly, this is an important anniversary year, and the debate is very timely. When we look at the great sweep of history, from the six-day war and its aftermath to the UN partition plan and all the way back to Balfour, it is quite clear that, in many ways and in context, we seem to have come to a halt. The past few years have been very dark and very depressing with very little movement. I fear that we have been slipping backwards, and that a two-state solution is moving further and further away from us. Clearly, settlements are a major part of the problem, but we must recognise them for what they are: they are a roadblock to peace and a violation of international law. At the same time, we cannot pretend that this conflict can be reduced to that one issue alone, as that is simply not the case. As the hon. Member for Liverpool, Riverside (Mrs Ellman) put it so well, there must be an unequivocal end to violence and incitement on both sides. In these dark and difficult times, the question is what do we do? Do we give up hope? Do we walk away? We must be honest that the road ahead is very hard. My question is this: have the Government decided that, what with Brexit, the crisis in the NHS, the collapse in social care, the challenge of the Trump presidency and wars over the middle east, continuing to be involved in such a bitter and long-standing dispute is just one challenge too many? In many ways, that was the message   that Ministers sent to the Paris conference last month when 36 countries sent a Foreign Minister, but not the United Kingdom. Our presence there was downgraded to observer status and we declined to join the communiqué, which really did not make any sense, because the objectives of the conference and the content of the communiqué were so closely aligned to the sentiments expressed in UN Security Council resolution 2334, which, I am told, the UK had a key role in drafting last December. It is as if we have been blowing hot and cold. What is going on? Are the Government losing their nerve? The Government’s official explanation was that they chose not to attend because no Israeli or Palestinian representatives were present, but that does not make sense, because the Paris conference was not some kind of quixotic attempt to bypass the need for bilateral negotiations, but an attempt to affirm support for them. As the lengthy list of multilateral initiatives in UN Security Council resolution 2334 showed, the international community has always had a role to play in helping to facilitate bilateral talks. For Labour, as internationalists, friends of Israel and friends of the Palestinians, that understanding is crucial. My hon. Friend the Member for Wrexham (Ian C. Lucas), who was shadow Minister for the middle east, said a few years ago: “We have made it very clear that we will always work with partners multilaterally to advance the two-state solution agenda.” —[ Official Report , 13 October 2014; Vol. 586, c. 95.] I hope that the Minister will explain why this Government appear to lack the same co-operative spirit—or at least they lack it sometimes. Whatever the official reason, I am afraid that the clear subtext to the decision on Paris was the election of President Trump in the United States. Many have suggested that his election was bad news for the peace process and that we should give up hope. I can understand why. We just need to consider the words of Naftali Bennett, one of the most influential Members of Netanyahu’s Cabinet. Following the election of Donald Trump, he said: “The era of a Palestinian state is over.” Mr Bennett’s regulation Bill seeks to legalise the construction of settlements on privately owned land retrospectively and it should be condemned. The fact is that a one-state solution would not enjoy the support of the people of Israel or the majority of the people of Palestine. By following the settler agenda, the Israeli Government are not acting in the interests of the people of the region, and certainly not in the interests of the people of Israel. A single state, stretching from the Mediterranean to the Jordan river can be one of two things: it can either be Jewish, or it can be democratic. As the right hon. Member for Enfield North (Joan Ryan) so rightly said, it cannot be both. As friends of Israel and friends of Palestine, there is no time for the UK to sit on the side lines. Of course I understand why the regulation Bill was pushed forward at this particular time. After all, the man who has just taken office as the President of the United States has expressed some unorthodox views, to put it mildly. He has made statements in favour of more settlements, and he is in favour of moving his embassy to Jerusalem and opposed to multilateral talks. The man he has appointed as America’s ambassador to Israel has said that “a two-state solution is not a priority”. Many of us worry that this rhetoric is divisive, but we have heard positive words from Mr Trump at times. He said, for example, that he “would love to be able to be the one that made peace with Israel and the Palestinians”, and that he has “reason to believe” that he can do that. I think we should choose to take him at his word. The difficulty is that I am far from convinced that he knows exactly how to do that. That is where we come in. The expertise of the Foreign Office and the advice we can give the Americans in these circumstances are important. It is incumbent on us, as we wish for a two-state solution, to do everything we can to push for a path to peace. For the Government, that means making the case to Washington and Tel Aviv, and convincing them that a two-state solution is still both achievable and necessary. I hope that the Minister can assure us that his Government remain committed to a two-state solution, and opposed to anything that stands in the way of that. I am deeply disappointed that the Government continue to fail to recognise the Palestinian state. Now is the time. I ask the Minister to comment on that. What thought have the Government put into how settlement goods could be separated from other Israeli goods, as many people do not wish to buy settlement goods? Are the Government doing any further work on that? How can we persuade British companies not to invest in settlement areas? Most importantly, I hope that when President Trump and Prime Minister Netanyahu visit London later this year, our Prime Minister will have the courage to set out those views in no uncertain terms. I look forward to hearing what the Minister has to say.",Emily Thornberry
US Administration: UK Foreign Policy,,2017-02-21 00:00:00,"President Trump boasts of running a finely tuned machine, but the truth is that American policy is under review when it comes to all the world’s major crises—from Ukraine to Syria, and Afghanistan to North Korea. I hear from the Secretary of State that there is new thinking, but we have yet to see anything coherent coming out of America. The finely tuned machine has not so much stalled as not yet got going. The resulting vacuum is being filled by the Russians, with peace talks on Syria and Afghanistan taking place without US or UK involvement. Is the Secretary of State happy to keep waiting for President Trump’s cue or is he capable   of thinking for himself? Will we see a British initiative in any of these countries; and, if so, where is he going to start and what is the plan?",Emily Thornberry
US Administration: UK Foreign Policy,,2017-02-21 00:00:00,"I have to say that if that’s a plan, I’m a monkey’s uncle. The fact is that the Government have been frozen out of negotiations on some of the most pressing issues we face. Take Afghanistan, where there have been 450 British fatalities over 15 years. The American army general on the ground, John Nicholson, describes the fighting as having reached a stalemate that may take several thousand more troops to break. In the meantime, Russian-led peace negotiations are going on in the absence of America, the United Kingdom and, in fact, every other NATO member, so I ask the Secretary of State again: when will start seeing some leadership from this Government?",Emily Thornberry
Engagements,,2017-03-01 00:00:00,"Well, do it!",Emily Thornberry
Budget Resolutions,2017-05-01 19:32:00,2017-03-13 00:00:00,"Let me start by saying that, like many other Members, it was my privilege this afternoon to attend the service of celebration for the Commonwealth at Westminster Abbey, in the presence of Her Majesty the Queen. In the context of tonight’s debate, it was a reminder of the powerful and historical ties that Britain enjoys all over the world; we are a country that will always face outwards and never turn in on ourselves, and, like the Secretary of   State, I hope that at next year’s service we will have another member of the Commonwealth present, as a democratic Gambia completes the process of re-admission. I thank the Secretary of State for opening this evening’s debate on the Budget and Britain’s place in the world. It is an issue of vital importance, and yet one that, it is fair to say, has not been centre stage in the five days of the debate on the Budget. If someone had told us last summer that going into article 50 week the Prime Minister and the Chancellor would be at each other’s throats, at war through the media, and engaged in a desperate blame game, while the Secretary of State for Foreign and Commonwealth Affairs would be sent into the television studios to act for the Government as the voice of calm and unity, no one would have believed them. However, if this is indeed to be his new role—if he is going to be the new Willie Whitelaw figure, or, dare I say it, the new John Prescott—I congratulate him and wish him the very best of luck in the future. Of course, there will be some unkind souls who look at the row between No. 10 and No. 11 and think it is exactly what the Secretary of State needed this weekend. In their cynical minds, had it not been for that row, much more attention would have focused on Sunday’s real heavyweight contest, the one the public really wanted to see explode, the one between the two Tory blond heavyweights: Hezza versus Bozza; Tarzan versus the Zip-Glider; the Dog-Killer versus the Dave-Slayer. We were denied a true fight, but we were left with these immortal words from Lord Heseltine: “When I listen to Boris…he has turned the art of political communication into a science” of using “waffle charm, delay, anything to stop actually answering questions.” In the rest of my speech, I intend to ask some very straightforward questions on the Budget and Britain’s place in the world, and I hope that the Secretary of State will be able to answer them without waffle or delay, and with no more charm than he feels is absolutely necessary. It is striking that we are here to debate a Budget that has almost nothing to say about Britain’s place in the world, and with even less to offer for it. I am sure that we could all have predicted some of the rhetoric that we have heard from the right hon. Gentleman tonight about re-entry into world markets, a truly global Britain and an active global Britain. I predict that we will hear more about “brand Britannia” and terms such as “dynamic”, “agile”, “cutting edge”, “global powers”, “global reach” and “global influence”, and about the yacht and exporting boomerangs and so forth—but the question is this: what is the strategy for achieving all that ambition, and how does the Budget provide the resources to back it up? So far, we have seen no evidence of either. It is not enough simply to want a relationship with Europe that has all of the benefits and none of the costs and to be a leading global power at the same time, or to say, like Tinkerbell, that all we have to do to make it happen is believe that it is possible. Indeed, the right hon. Gentleman almost seems to be implying that if we do not believe, or if we ask awkward questions, somehow these things will not happen, and that fairies will start falling from the skies. It has been said in this debate—and no doubt it will be said again—that the Government are meeting their commitments to spend both 2% of GDP on defence and 0.7% on development, but while these seem like clear commitments, when we scratch the surface there are many unanswered questions, about how funding is split between the Foreign and Commonwealth Office, the Ministry of Defence and the Department for International Development, and about how, where, why and on what this money is actually spent. It seems likely that a large part of the Foreign Office budget over the next few years will come from funding streams that are nominally shared across Departments, most of them with blandly unobjectionable names such as the Conflict, Stability and Security Fund and the Prosperity Fund. The idea of shared funding is perfectly valid in principle, but we need to know how these funds will be used by the Foreign Office. How much will be classed as “aid” spending, and how much as “defence”, and, for that matter, how much will be classed as both? We need to know why there is so little transparency on this issue, and what kind of oversight there is to make sure that these funds are used responsibly. One might, if one was of a suspicious frame of mind, even conclude that the Government are being wilfully opaque in this matter, but I am sure that the Secretary of State will bristle at the very suggestion, and will want to do all he can to dispel such a thought from the debate. Of course, the reliance of the Foreign Office—perhaps the over-reliance—on funding from outside its budget settlement is really just symptomatic of a much larger and much more damaging trend under this Government. Unlike defence or overseas aid, our diplomatic service lacks the financial security of a politically or legally binding spending target, and I am sorry to say that it shows. Of the three Departments that share most of the responsibility for “Britain’s place in the world”—the Foreign Office, the Ministry of Defence and the Department for International Development—the FCO’s budget accounts for just 3% of the combined total, despite the fact that it is every bit as essential as the other two. I am sure the right hon. Gentleman saw the  Financial Times  on Friday, which highlighted the real change in Departments’ resource budgets between 2016-17 and 2019-20. It is no surprise—there was a great deal of fuss about this—that there has been a cut of 37.2% to Department for Communities and Local Government budgets, but which Department has the largest cut of all? It is the Foreign and Commonwealth Office, which has a minus 38.1% change to its budget. The Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East (Mr Ellwood) may shake his head, and if I am wrong, he should please tell me. I would be interested to see him go into battle with the  Financial Times   on this matter. The Department’s budget is already very small, and it comes as no surprise that these cuts have had serious consequences for our standing in the world and for our global reach and influence. To start with, there has been a loss of expertise. We have seen the Government repeatedly being caught by surprise on events of great global significance such as the Arab spring, the crisis in Ukraine and the attempted coup in Turkey. There has been a hollowing out of expertise in these critical areas, not to mention a loss of skilled linguists. If the Secretary of    State can tell us what progress has been made on recovering Russian and Arabic language capabilities, for example, I should be very grateful.",Emily Thornberry
Budget Resolutions,,2017-03-13 00:00:00,"It is because I have read that report that I mention Russian language capabilities. In my view, the reports produced by the Foreign Affairs Committee are thoughtful and informative, and I recommend them to the Secretary of State. The Committee has raised a number of flags that need to be carefully considered, because changes are happening to our precious Foreign Office and we are losing capabilities that it will be very difficult to redevelop.",Emily Thornberry
Budget Resolutions,,2017-03-13 00:00:00,"I am surprised to find myself agreeing with the hon. Gentleman to the extent that I do. It is important that we should stop and have a review. We need to look carefully at the 38% cuts that are being implemented by his Government at this crucial time for Britain. That is the point that I am making in this Budget debate. I believe that these issues need to be seriously addressed, and questions and answers about haggis are not sufficient when it comes to dealing with cuts of 38% to the Foreign and Commonwealth Office. It is not just language skills that have suffered. Let us consider BBC Monitoring, a vital service that monitors and translates foreign news reports and serves as an indispensable source of intelligence for Government Departments, including the Foreign Office. By transferring the responsibility for its funding from the taxpayer to the BBC itself, the Government have left BBC Monitoring open to cuts, and last year saw the announcement of 96 job losses and the closure of 20% of its posts overseas. Is that responsible behaviour, at a time like this? Cuts such as those will continue to have effects as incalculable as they are far-reaching. It turns out that what a Government choose to fund, or not to fund, can tell us a great deal more than just the short-term spending priorities of the Government as a whole. For the Foreign Office, those decisions can identify the most basic principles underlying the Government’s foreign policy approach. For perhaps the best example of that, we need look no further than the downgrading of human rights as a priority for the Department. They are now considered far less important than the so-called prosperity agenda—  [ Interruption. ]  I hear people saying that that is entirely untrue. Let me pray in aid the permanent secretary to the Foreign and Commonwealth Office, who has said precisely that. That decision has been confirmed as a more or less direct consequence of the cuts imposed by the Government. It was not so long ago that a Tory Foreign Secretary, William—now Lord—Hague, was able to say with a straight face that there would be “no downgrading of human rights” under his Government. He argued that it was neither in our interests nor in our nature to have what he called a “foreign policy without a conscience”. I could not agree more, and he must surely be sharing our disappointment to see a Tory Foreign Secretary and a Tory Prime Minister practically tripping over each other to cosy up to the likes of Donald Trump. We used to think that there were some world leaders who would always unite the opinion of this House, and that Members on both sides would always have the courage to speak out against those who did not share our values. These days, the Government’s values are obscure, to put it politely, beyond being in favour of trade, so the question is not just one of how much the Government are prepared to spend on the world-class diplomatic service that they want, important though that is; it is also a question of what they are prepared to do with the resources that they have.",Emily Thornberry
Budget Resolutions,,2017-03-13 00:00:00,"That is to be acknowledged, but we must also look at what is happening within the various missions and at the posts that are being stripped out. Those whose job it was to make contact with human rights activists and with civil society within those countries— [ Interruption. ]  If the Under-Secretary of State for Foreign and Commonwealth Affairs, the hon. Member for Bournemouth East, wishes to intervene on me, I will have no problem with that. However, if he is not going to intervene, could he just be quiet and let me finish my speech? I would appreciate that. I want to talk about what our foreign policy is, in essence. Ministers are fond of speaking of the opportunities that leaving the EU could provide. On foreign policy, a fundamental rethink of the Government’s approach could be one of those opportunities, but in fact it is more than that: doing so is an absolute imperative.   As the Government start to think—however belatedly—about the kind of relationship they might want with Europe, they should also consider what kind of relationship they want us to have with the rest of the world. In doing so, we need more than just warm words from the Government—we need a plan. Our Foreign Office has been at its very best when it has been allowed in its foreign policy to give proper weight to British values as well as to British interests. I hope that the Secretary of State will look to that legacy and embrace and build on it, rather than undermining it any further. In the more immediate term, we need the Government to start thinking sensibly about Europe as a matter of urgency. We know little more about Ministers’ intentions than that they are prepared to break the British economic model if they feel that that is needed if we do not get a deal. I heard the Secretary of State say at the weekend that we would be “perfectly okay” if we left the EU without a deal. So why is the Chancellor of the Exchequer briefing that he is going to hoard £60 billion because of Brexit? Perhaps it is to fund the extra £350 million a week that the Secretary of State promised for the national health service. If so, I hope that the Secretary of State has asked the Chancellor about it, because £60 billion would provide three years, three months and one week’s-worth of extra money for the NHS. At the moment, he seems to be doing no more than crossing his fingers and hoping for the best. This is a serious situation. We need clear thinking about our future in Europe and in the wider world, and simply talking about Toblerone display cabinets in Saudi Arabia is not sufficient. We need clear thinking and a clear plan, and we need them without any further delay.",Emily Thornberry
Yemen,,2017-01-12 00:00:00,Will the Minister give way?,Emily Thornberry
Yemen,,2017-01-12 00:00:00,Will the Minister give way?,Emily Thornberry
Yemen,,2017-01-12 00:00:00,Will the Minister give way?,Emily Thornberry
Yemen,,2017-01-12 00:00:00,"On a point of order, Mr Deputy Speaker. In your absence, there has been a bit of backwards and forwards between the Front Benches, and I gave way on several occasions to the Minister. He is now making it clear that he will not allow me to intervene at all.",Emily Thornberry
Yemen,,2017-01-12 00:00:00,rose—,Emily Thornberry
Yemen,,2017-01-26 00:00:00,"I congratulate the hon. Member for Ochil and South Perthshire (Ms Ahmed-Sheikh) on securing this urgent question, and I agree with everything she said. We need once again to ask the Government what they are doing to end the conflict in Yemen. The Minister talks about the need for a political solution. When is he going to present our resolution to the United Nations? When are we going to get proper investigations into alleged violations of international humanitarian law?   Why are we continuing to sell Saudi Arabia the arms to wage this conflict? Ultimately, when are we going to bring the suffering of the people of Yemen to an end and then get to them the humanitarian aid that they need? In every debate, every month, and now every year, we ask the same basic questions, and every time the Minister, whose name is now, I am afraid, synonymous with the Yemen conflict, stands there and gives us the same non-answers. We have had the same today, so let me simplify these things for him a little and ask him some plain, factual questions. First, did he read the excellent article on Tuesday for “Middle East Eye”, which was written by the right hon. Member for Sutton Coldfield (Mr Mitchell)? If he did, can he tell us what in that analysis he disagrees with? Secondly, and even more straightforwardly, questions on which we must get answers today: how many civilian deaths in total are involved in the 252 alleged violations of humanitarian law by the Saudi-led coalition, which the Ministry of Defence admitted today that it is tracking? Have any of them been the subject of one of the 13 reports that the coalition’s joint incidents assessment team has produced over the past nine months? If so, which ones? If not, why not? Thirdly, does the Minister really think that Yemeni mothers who are today desperately scavenging for food for their children would agree with him that we ended 2016 in a better position than we started it in?",Emily Thornberry
Yemen,,2017-01-12 00:00:00,rose—,Emily Thornberry
