mp,debate,time,text,date
Jeremy Corbyn,Engagements,,"I concur with the condolences that the Prime Minister just sent to the families of the three people who so sadly and needlessly died. It is important that we recognise that as a cross-party proposal today, and I thank the Prime Minister for it. We welcome the general election, but this is a Prime Minister who promised that there would not be one—a Prime Minister who cannot be trusted. She says that it is about leadership, yet she refuses to defend her record in television debates. It is not hard to see why. The Prime Minister says that we have a stronger economy, yet she cannot explain why people’s wages are lower today than they were 10 years ago or why more households are in debt. Six million people are earning less than the living wage, child poverty is up, and pensioner poverty is up. Why are so many people getting poorer?",2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"That is a very good reason for why we should have a debate about it, because it is another Tory broken promise. A broken promise of the Tory manifesto, which said that they would continue to “spend more on the NHS, in real terms”. Say that to those waiting in A&E departments and to those who cannot leave hospital because social care is not available. Is it not the truth that, over the last seven years, the Tories have broken every promise on living standards, the deficit, debt, the national health service and school funding? Why should anyone believe a word they say over the next seven weeks?",2017-04-19 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,,2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"If the Prime Minister is so proud of her record, why will she not debate it? Wages are falling and more children are in poverty. Page 28 of the Tories’ last manifesto said: “We will work to eliminate child poverty”. They only eliminated the child poverty target, not child poverty. In 2010, they promised to eradicate the deficit by 2015. In 2015, they promised to eradicate the deficit by 2020. Austerity has failed, so does the Prime Minister know by which year the deficit will now be eradicated?",2017-04-19 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,2017-05-01 13:13:00,"We welcome the opportunity of a general election because it gives the British people the chance to vote for a Labour Government who will put the interests of the majority first. The Prime Minister says she has only recently and reluctantly decided to go for a snap election. Just four weeks ago, her spokesperson said “there isn’t going to be an early general election”. How can any voter trust what the Prime Minister says? Britain is being held back by the Prime Minister’s Government. She talks about a strong economy, but the truth is that most people are worse off than they were when the Conservatives came to power seven years ago. The election gives the British people the chance to change direction. This election is about her Government’s failure to rebuild the economy and living standards for the majority; it is about the crisis into which her Government have plunged our national health service; and it is about the cuts to our children’s schools, which will limit the chances of every child in Britain, 4 million of whom now live in poverty. It is a chance of an alternative to raise living standards. More and more people do not have security in their work or their housing.",2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"Only this year the new Chancellor pledged to eradicate the deficit by 2022. I admire Tory consistency: it is always five years in the future. Another Tory broken promise. The Prime Minister leads a Government who have increased national debt by £700 billion, more than every Labour Government in history put together. Debt has risen every year they have been in office. We know their economic plan was long term. Does she want to tell us how far into the long term it will be before we get the debt falling?",2017-04-19 00:00:00
Jeremy Corbyn,Engagements,,"Today, the Public Accounts Committee says of the Department for Education: “The Department does not seem to understand the pressures that schools are already under.” It goes on to say that “Funding per pupil is reducing in real terms”, and that school budgets will be cut by £3 billion—equivalent to 8%—by 2020. Is the Public Accounts Committee wrong?",2017-03-29 00:00:00
Jeremy Corbyn,Engagements,,"Many parents taking their children back to school for the summer term will receive a letter begging for funds to buy books and fund the school. The Conservative manifesto promised “the amount of money following your child into school will be protected.” It is not. It is another Tory broken promise. For the first time in its history, NHS funding per patient will fall this year. The NHS has been put into an all-year-round crisis by this Government. Why are more people waiting in pain, with millions of elderly people not getting the care and dignity they deserve?",2017-04-19 00:00:00
Jeremy Corbyn,Article 50,2017-05-01 12:50:00,"I would like to thank the Prime Minister for an advance copy of her statement. Today, we embark on the country’s most important negotiations in modern times. The British people made the decision to leave the European Union and Labour respects that decision. The next steps along this journey are the most crucial. If the Prime Minister is to unite the country, as she says she aims to do, the Government need to listen, consult and represent the whole country, not just the hard-line Tory ideologues on her own Benches. Britain is going to change as a result of leaving the European Union; the question is how. There are Conservatives who want to use Brexit to turn this country into a low-wage tax haven. Labour is determined to invest in a high-skill, high-tech, high-wage future, and to rebuild and transform Britain so that no one and no community is left behind. The direction the Prime Minister is threatening to take this country in is both reckless and damaging, and Labour will not give this Government a free hand to use Brexit to attack rights and protections and to cut services, or to create a tax dodger’s paradise. Let me be clear: the Prime Minister says that no deal is better than a bad deal, but the reality is that no deal is a bad deal. Less than a year ago, the Treasury estimated that leaving the European Union on World Trade Organisation terms would lead to a 7.5% fall in our GDP and a £45 billion loss in tax receipts. Has the Treasury updated those figures or do they still stand? If they have been updated, can they be published? If not, what deal could be worse than those consequences of no deal? It would be a national failure of historic proportions if the Prime Minister came back from Brussels without having secured protection for jobs and living standards, so we will use every parliamentary opportunity to ensure the Government are held to account at every stage of the negotiations. We all have an interest in ensuring the Prime Minister gets the best deal for this country. To safeguard jobs and living standards, we do need full access to the single market. The Secretary of State for Exiting the European Union seems to agree on this. He stated in this House on 24 January that the Government’s plan is: “a comprehensive free trade agreement and a comprehensive customs agreement that will deliver the exact same benefits as we have”. —[ Official Report , 24 January 2017; Vol. 620, c. 169.] That was what was pledged, so will the Prime Minister confirm today that she intends to deliver a trade and customs agreement with “the exact same benefits”? The same goes for protecting workers’ rights and environmental standards, protecting Britain’s nations and regions, protecting Britain’s financial sector and services, and making sure there is no return to a hard border in Northern Ireland. When does the Prime Minister expect to be able to guarantee the rights of all those EU nationals who live and work in this country, and make such a massive and welcome contribution to it, and of those British nationals who live in all parts of the European Union, including by guaranteeing that their UK pensions will not be frozen post-Brexit? Brexit would be a huge task for any Government, yet so far this Government seem utterly complacent about the scale of the task ahead. Government Ministers cannot make up their minds about the real objective. The Foreign Secretary—he is in the Chamber today—said in October: “Our policy is having our cake and eating it.” How apposite from the Foreign Secretary. Today, on BBC Radio 4, the Chancellor said: “we can’t have our cake and eat it”. Maybe they should get together and talk about that. At one level, those might seem like flippant exchanges from Ministers, but they do reflect serious differences about Britain’s negotiating aims. The Government must speak with a united voice. However, the Foreign Secretary is the same man who promised our national health service £350 million pounds a week once we left the EU. Now he believes that leaving the EU without a deal would be “perfectly okay”. It would not be perfectly okay—it would damage our economy and people’s living standards. Will the Prime Minister confirm that she rejects such complacency? Labour has set out our tests for the Government’s Brexit negotiations, and we will use all means possible to make sure we hold them to their word on full access to the single market, on protecting Britain from being dragged into a race to the bottom, and on ensuring that our future relationship with the European Union is strong and co-operative—a relationship in which we can work together to bring prosperity and peace to our continent. If the Prime Minister can deliver a deal that meets our tests, that will be fine—we will back her. More than ever, Britain needs a Government that will deliver for the whole country, not just the few, and that is the ultimate test of the Brexit deal that the Prime Minister must now secure.",2017-03-29 00:00:00
Jeremy Corbyn,Engagements,,"I think the Prime Minister should offer an apology for the chaos that her Government have caused during the past week and the stress they have caused to the 4.8 million self-employed people in this country. Will she offer that apology? Her hon. Friend the Under-Secretary of State for Wales did so a week ago; it is time she joined him. This measure, if carried through, will create a black hole in the budget. What is she going to do to fill that black hole?",2017-03-15 00:00:00
Jeremy Corbyn,Engagements,,"We have a Government U-turn, no apology, and a Budget that falls most heavily on those with the least broad shoulders, with cuts to schools, cuts to social care and cuts to support for people with disabilities. That is the agenda of the right hon. Lady’s Government, and everybody knows it.",2017-03-15 00:00:00
Jeremy Corbyn,Engagements,,"First, may  I wish everyone in my constituency, in Ireland and  all around the world a very happy St Patrick’s day on the 17th? We have just heard that the Prime Minister is about to drop the national insurance hike announced only a week ago. It seems to me that the Government are in a bit of chaos here with a Budget that unravels in seven days, a Conservative manifesto with a pensive Prime Minister on the front page saying that there would be no increase, and a week ago an increase being announced. If they are to drop the increase, as they are indicating, the Prime Minister should thank the Federation of   Small Businesses and all those who have pointed out both how unfair the increase would be and how big business evades an awful lot of national insurance through bogus self-employment.",2017-03-15 00:00:00
Jeremy Corbyn,Early Parliamentary General Election,,I give way to my Friend the Member for Stoke-on-Trent.,2017-04-19 00:00:00
Jeremy Corbyn,European Council,2017-05-01 12:43:00,"I thank the Prime Minister for an advance copy of the statement. The passing into law of the European Union (Notification of Withdrawal) Bill marks an historic step. The triggering of article 50 later this month is a process that will shape this country’s future. There is no doubt that if the wrong decisions are made, we will pay the price for decades to come. Now, more than ever, Britain needs an inclusive Government who listen and act accordingly. However, all the signs are that we have a complacent Government—complacent with our economy; complacent with people’s rights; complacent about the future of this country. I urge the Prime Minister to listen to the collective wisdom of this Parliament, and to give the House a full opportunity to scrutinise the article 50 deal with a meaningful final vote. The people’s representatives deserve better than “take it or leave it”. If we are to protect jobs and living standards, and if we are to protect the future prosperity of the country, the Government must secure tariff-free access to the single European market. The Prime Minister has already made the threat to our negotiating partners to turn Britain into a deregulated tax haven. Is that what she means by “global Britain”? When the Foreign Secretary says that no deal with the EU would be “perfectly OK”, it simply is not good enough. Far from taking back control, leaving Britain to World Trade Organisation rules would mean losing control, losing jobs, and, frankly, losing out. The Prime Minister says that no deal is better than a bad deal. Let me be clear: no deal is a bad deal. Such a complacent strategy would punish business, hit jobs, and devastate public services on which people rely. The Prime Minister says that she is seeking to secure a future free trade deal with the EU, after initial negotiations have been completed. If that is the strategy, it is essential that the Government stop being complacent and focus on securing a transitional agreement with the EU at the earliest opportunity. That would at least give the British people and businesses some short-term clarity during this period. The Prime Minister said that she wanted to provide certainty on the issue of EU nationals as soon as possible. Why, then, have the Government voted down every Labour attempt to bring certainty to EU nationals, who make such a massive contribution to our community and our society? These people are not bargaining chips; they are mothers, fathers, wives and husbands. They are valued members of our community. The Government could and should have acted months ago. I agree with the Prime Minister that now is not the time to create uncertainty or play politics. She should tell that to the EU migrants in Britain who have no idea what their future holds because of the decisions made by her Government. Is the Prime Minister saying that she is content for refugees to remain in camps in Libya—is that a safe country?—or for Greece, Italy and Malta to shoulder   the entire burden of refugees from north Africa and the middle east? While we welcome the conference on Somalia that she is proposing, we need to know what support Britain is offering to all those countries. Does the Prime Minister still believe that we have a collective responsibility on the issue of refugees? The Prime Minister said that she had argued about tackling vile smuggling rings, and about people being subjected to unimaginable abuse. Does she not agree that her argument would be so much stronger if her Government had been prepared to accept some of the victims of that unimaginable abuse; for example,  the children who should have been accepted through the Dubs amendment? As we move towards the triggering of article 50, there is much uncertainty about Britain’s future. A responsible Government would set a positive tone with our negotiating partners, and would move to protect our economy, workers and citizens at the earliest opportunity. Instead, we have a reckless Government who are playing fast and loose with the British economy. We will fight for jobs and the economy, using every parliamentary mechanism that is available, and the Government should welcome that scrutiny.",2017-03-14 00:00:00
Jeremy Corbyn,Engagements,,"It would be a very good idea if the Prime Minister listened to headteachers all over the country, who are desperately trying to work out how to balance the books in their schools, but are losing teachers, losing teaching assistants and losing support for their children because school budgets are being cut. She knows that. We all know that. Everybody out there knows that. They also know that, according to figures from the Institute for Fiscal Studies, average working families will be £1,400 worse off as a result of her Budget that was produced last week. What is she doing to help the worst off and poorest in our society, rather than continuing to cut local government and schools expenditure, and to underfund social care?",2017-03-15 00:00:00
Jeremy Corbyn,Engagements,,"The difference is that we want a good school and a good place for every child in every school in every community. Selective education—the reintroduction of grammar schools—does not achieve that. We want a staircase for all, not a ladder for the few, which is what Conservative policies actually are. The Prime Minister has also not addressed the unfairness of a Budget that cuts tax at the top end, continues to reduce corporation tax and encourages bogus self-employment. She has to address the issues of injustice and inequality in our society, and of a Government who are dedicated to widening the gap, not helping the hard-up or those who are working as self-employed, trying to make ends meet and not getting access to any benefits at the same time.",2017-03-15 00:00:00
Jeremy Corbyn,Engagements,,"Given that this Government propose to borrow more between now and 2020 than the entire borrowing of all Labour Governments put together, we do not need lectures from them on that. I hope that in his statement later today the Chancellor will address the question of injustice to many people who are forced into bogus self-employment by unscrupulous companies, many of which force their workers to become self-employed and thereby avoid employer’s national insurance contributions. It is a grossly unfair system where those in self-employment pay some national insurance, but employers do not, and benefit from it. That is a gross injustice that must be addressed.",2017-03-15 00:00:00
Jeremy Corbyn,Engagements,,"The manifesto on which the Prime Minister fought the last election promised: “Under a future Conservative Government, the amount of money following your child into school will be protected.” No wonder even the editor of the London  Evening Standard  is up in arms about this. The cut to school funding equates to the loss of two teachers across all primary schools and six teachers across all secondary schools. So is the Prime Minister advocating larger class sizes, a shorter school day, or unqualified teachers? Which is it?",2017-03-22 00:00:00
Jeremy Corbyn,Engagements,,"I start by echoing the words of the Prime Minister concerning the death of Martin McGuinness, the former Deputy First Minister of Northern Ireland. He died this week, and our thoughts go to his family, his wife Bernie and the wider community. Martin played an immeasurable role in bringing about peace in Northern Ireland, and it is that peace that we all want to see endure for all time for all people in Northern Ireland. This Government are cutting the schools budget by 6.5% by 2020, and today we learn that the proposed national funding formula will leave 1,000 schools across England facing additional cuts of a further 7% beyond 2020. Can the Prime Minister explain to parents why cutting capital gains tax, cutting inheritance tax, cutting corporation tax and cutting the bank levy are all more important than our children’s future?",2017-03-22 00:00:00
Jeremy Corbyn,Engagements,,"I want to begin by paying tribute, as the Prime Minister did, to the emergency services across the country, and especially to all those who responded to the Westminster attack last Wednesday and those who turned out to help the victims of the New Ferry explosion last Saturday. Our thoughts remain with the injured and those who have lost loved ones, and we especially thank the police for their ongoing investigations. Will the Prime Minister assure us that the police will be given all the necessary support and resources to take them through this very difficult period of investigating what happened last Wednesday?",2017-03-29 00:00:00
Jeremy Corbyn,Engagements,,"I want a decent, fair opportunity for every child in every school. I want a staircase for all, not a ladder for the few. The Prime Minister has not been very good at convincing the former Secretary of State for Education, the right hon. Member for Loughborough (Nicky Morgan), who wrote last week: “All the evidence is clear that grammar schools damage social mobility.” What evidence has the Prime Minister got that the former Secretary of State is wrong in that?",2017-03-22 00:00:00
Jeremy Corbyn,Engagements,,"It is not just the former Education Secretary; the Chair of the Education Committee also says that grammar schools “do little to help social mobility” and are an “unnecessary distraction”. The Prime Minister and her Government are betraying a generation of young people by cutting the funding for every child. Children will have fewer teachers, larger classes and fewer subjects to choose from, and all the Prime Minister can do is to focus on her grammar school vanity project, which can only ever benefit a few children. Is the Prime Minister content for the generation in our schools today to see their schools decline, their subject choices diminish and their life chances be held back by decisions of her Government?",2017-03-22 00:00:00
Jeremy Corbyn,Engagements,,"Maybe the Prime Minister could have a word with her friend the hon. Member for The Cotswolds (Geoffrey Clifton-Brown), who said this week: “Under this new formula, all my large primaries and all of my secondaries will actually see a cash cut in their budgets.” In the Budget, the Government found no more money for the schools budget, but they did find £320 million for the Prime Minister’s special grammar schools vanity project. There is no money for Eileen’s school, but £320 million for divisive grammar schools. What kind of priority is that?",2017-03-22 00:00:00
Jeremy Corbyn,London Attacks,2017-05-01 22:45:00,"I join you, Mr Speaker, in welcoming our colleagues from France here today, and I associate myself with the Prime Minister’s remarks. What happened yesterday within metres of where we sit now was an appalling atrocity. The police are still piecing together what took place and what lay behind it. It behoves us all not to rush to judgment, but to wait for the police to establish the facts, to stay united in our communities and not to allow fear or the voices of hatred to divide or cower us. Today, we are united by our humanity, by our democratic values and by that human impulse for solidarity to stand together in times of darkness and adversity. I express my condolences to the family and friends of police officer Keith Palmer who gave his life yesterday in defence of the public and our democracy. We thank the police and security personnel who keep us safe every day on this estate, and we especially pay tribute to the bravery of those who took action to stop the perpetrator of yesterday’s assault. The police and security staff lost a colleague yesterday and continued to fulfil their duties, despite their shock and their grief for their fallen colleague, which many of them expressed to me when I was talking to them late last night. We see the police and security staff every day. They are our colleagues. They are fellow workers. They are friends. They are neighbours. As the Prime Minister said, when dangerous and violent incidents take place, we all instinctively run away from them for our own safety; the police and emergency services run towards them. We are grateful for their public service yesterday, today and every day that they pull on their uniforms to protect us all. I want to express our admiration for the hon. Member for Bournemouth East (Mr Ellwood), whose efforts yesterday deserve special commendation. He used his skill to try to save a life. Innocent people were killed yesterday walking across Westminster bridge, as many millions of Londoners and tourists and all of us in this Chamber have done before them. As the Prime Minister said, the injured include people of 10 nationalities. We send our deepest condolences to their loved ones and to the loved ones of those still in a critical condition, including the French schoolchildren so welcome in our capital who were visiting from Concarneau in Brittany. We send our sympathies to them and to the people of their town and their community. We thank all the dedicated national health service staff working to save lives, including all those from St Thomas’ hospital who rushed straight over to the scene of the incident to try to support and save lives. Many people will have been totally traumatised by yesterday’s awful events—not just all of us here, but those who were watching on television, worried for the safety of their friends and loved ones—so I ask in this House and in the country, please, that we look after each other, help one another and think of one another. It is by demonstrating our values—solidarity, community, humanity and love—that we will defeat the poison and division of hatred.",2017-03-23 00:00:00
Jeremy Corbyn,Engagements,,"Of course we all pay tribute to the police for the work that they do, but there are some problems. Between 2015 and 2018 there will be a real-terms cut of £330 million in central Government funding for police forces. Can the Prime Minister assure the House that police forces all over the country have the necessary resources with which to do the job?",2017-03-29 00:00:00
Jeremy Corbyn,Engagements,,"A survey undertaken recently by the Police Federation reveals that 55% of serving police officers say that their morale is low because of how their funding has been treated. Frontline policing is vital to tackling crime and terrorism, but there are 20,000 fewer police officers and 12,000 fewer officers on the frontline than there were in 2010. I ask the Prime Minister again: will she think again about the cuts in policing, and will she guarantee that policing on the frontline will be protected so that every community can be assured that it has the police officers it needs?",2017-03-29 00:00:00
Jeremy Corbyn,Engagements,,"As Home Secretary, the Prime Minister clearly did not protect police budgets. Last week, she told me four times: “We have protected the schools budget.” —[ Official Report , 22 March 2017; Vol. 623, c. 854-855.] Does she still stand by that statement?",2017-03-29 00:00:00
